Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
2010-02-28,28,5,1,10,No data,5,12,10,No data,No data,No data,No data,6,6,No data,2,9,8,No data,14,14,17,9,12,No data,6,5,13,14,9,9,8,No data,8,9,No data,9,No data,8,14,11,3,18,6,9
2010-08-07,28,8,No data,6,No data,No data,5,No data,No data,No data,No data,No data,6,7,No data,5,10,9,No data,8,No data,12,8,9,No data,No data,No data,9,6,No data,8,3,7,5,7,7,8,No data,6,7,10,11,No data,3,9
2010-08-11,28,5,No data,9,No data,No data,9,9,No data,No data,No data,No data,8,7,No data,No data,11,8,No data,9,No data,12,7,9,No data,No data,6,11,6,No data,8,No data,10,6,9,8,9,No data,No data,10,10,9,No data,4,9
2010-11-24,28,No data,0,8,No data,No data,25,11,No data,No data,No data,No data,19,7,No data,2,22,9,No data,17,20,17,16,19,No data,No data,5,17,No data,12,17,14,16,14,19,11,30,No data,13,13,22,8,No data,11,7
2010-12-06,28,No data,2,15,No data,No data,25,27,No data,No data,No data,No data,18,11,No data,31,24,32,No data,25,28,No data,18,25,No data,40,22,20,No data,40,26,No data,19,38,20,14,49,No data,19,22,50,17,No data,No data,No data
2011-05-26,28,12,4,9,No data,2,No data,4,No data,No data,No data,No data,9,13,No data,1,No data,7,No data,6,8,10,8,No data,No data,4,10,9,8,7,No data,4,6,5,6,8,10,No data,6,No data,10,14,No data,4,11
2011-07-19,28,6,4,9,No data,No data,8,6,No data,No data,No data,No data,8,13,No data,8,No data,11,No data,9,13,12,9,10,No data,10,8,No data,7,9,5,3,9,8,8,11,12,No data,6,7,14,16,No data,4,No data
2011-07-20,28,4,2,10,No data,No data,9,No data,No data,No data,No data,No data,10,11,No data,9,No data,10,No data,8,12,12,10,10,No data,8,9,No data,9,9,7,3,8,6,8,12,11,No data,9,8,No data,14,No data,3,No data
2011-07-25,28,5,3,10,No data,No data,10,No data,No data,No data,No data,No data,11,No data,No data,5,No data,10,No data,9,11,13,9,10,No data,9,6,No data,7,10,5,3,10,8,8,12,No data,No data,8,7,13,13,No data,4,No data
2011-12-16,28,9,2,12,8,7,7,7,No data,No data,No data,No data,5,11,No data,11,8,14,No data,6,10,No data,7,10,No data,17,11,No data,8,13,5,3,7,14,6,5,16,No data,5,6,20,13,No data,7,11
2012-04-12,28,6,2,6,10,6,12,No data,No data,No data,No data,No data,12,10,No data,7,9,11,No data,No data,13,18,13,15,No data,12,1,7,14,11,7,No data,16,11,9,14,14,No data,14,12,12,11,9,5,8
2012-07-09,28,No data,1,No data,4,4,No data,7,No data,No data,No data,No data,12,No data,No data,6,6,13,No data,15,13,10,8,No data,No data,11,No data,6,12,8,7,No data,7,7,7,11,8,No data,10,10,13,No data,5,3,6
2012-08-25,28,6,5,8,4,No data,6,No data,No data,No data,No data,No data,8,No data,No data,11,6,23,No data,6,9,8,3,4,No data,12,11,5,7,9,No data,7,6,10,7,No data,11,No data,8,2,11,9,9,9,14
2012-10-14,28,6,0,7,9,9,16,10,No data,No data,No data,No data,11,4,No data,7,12,13,No data,9,11,9,7,10,No data,17,8,7,13,12,No data,9,8,13,6,10,21,No data,13,5,17,5,18,10,7
2012-11-26,28,5,No data,5,10,-1,5,No data,No data,No data,No data,No data,8,3,No data,8,9,10,No data,8,10,6,5,6,No data,6,5,5,12,11,No data,8,6,4,4,8,5,No data,8,No data,8,2,4,5,5
2013-02-01,28,3,0,No data,No data,No data,4,12,No data,No data,No data,No data,7,No data,No data,9,8,10,No data,9,No data,10,6,9,No data,14,7,4,13,7,6,6,7,7,4,9,10,No data,8,No data,8,3,8,6,6
2013-11-20,28,4,2,4,5,No data,7,7,No data,No data,No data,No data,6,4,2,6,5,4,7,9,8,8,8,9,8,3,2,5,8,4,8,4,9,4,4,8,7,3,7,7,7,4,6,5,5
2014-06-05,28,13,No data,6,8,4,No data,6,No data,No data,No data,No data,6,7,3,10,7,5,7,9,8,5,7,9,No data,5,4,9,9,No data,6,6,12,6,No data,10,No data,No data,9,5,8,9,8,No data,10
2014-08-14,28,No data,5,6,7,2,No data,7,No data,No data,5,No data,No data,7,3,7,11,7,No data,No data,9,7,No data,No data,No data,6,No data,No data,7,6,4,8,12,No data,2,3,10,5,No data,No data,10,No data,7,2,7
2014-11-04,28,7,5,6,16,4,11,7,No data,No data,12,No data,7,No data,6,21,14,17,16,11,12,7,11,15,8,12,8,8,16,18,8,7,6,9,8,8,19,13,10,11,17,12,15,3,19
2015-03-24,28,8,1,6,8,4,7,5,No data,No data,9,No data,No data,4,3,10,12,8,15,13,15,10,12,11,12,9,9,6,14,13,8,7,7,7,6,12,11,No data,6,22,11,5,No data,3,11
2016-01-12,28,1,0,2,3,3,No data,5,4,No data,2,No data,8,4,3,7,2,No data,6,No data,4,6,4,5,1,2,7,4,6,5,No data,No data,5,No data,3,5,No data,6,5,No data,8,6,No data,2,5
2016-01-14,28,1,1,4,4,No data,4,No data,No data,No data,2,No data,5,No data,3,No data,3,No data,6,No data,3,4,3,4,0,No data,4,5,3,4,No data,No data,3,No data,1,3,No data,5,3,3,10,6,No data,2,No data
2016-03-09,28,2,0,3,4,7,2,1,8,7,3,No data,9,4,4,10,4,7,No data,6,9,6,No data,7,No data,5,7,3,10,5,No data,6,5,9,4,7,5,5,5,9,9,8,6,7,7
2016-04-15,28,3,2,5,13,6,8,8,15,8,11,7,8,6,5,8,11,10,7,8,7,8,11,7,5,12,7,13,8,13,No data,7,6,9,7,9,12,14,7,8,17,No data,9,11,5
2016-06-16,28,3,0,3,12,4,8,6,12,4,11,5,6,4,5,10,9,7,11,7,8,8,7,No data,4,No data,6,8,5,17,No data,8,No data,6,3,7,8,11,6,No data,12,6,6,5,6
2016-08-28,28,6,4,8,9,5,7,6,10,3,10,5,No data,7,8,4,9,4,11,9,10,9,12,10,7,6,5,7,No data,10,No data,6,8,6,6,No data,8,9,No data,10,10,5,8,6,4
2016-11-22,28,2,-1,6,9,1,10,7,6,2,11,11,4,4,4,11,9,3,11,4,7,6,6,5,2,3,4,8,6,13,No data,5,5,5,3,8,6,No data,No data,6,10,4,No data,2,4
