Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
05/02/2011,16,6,0,13,NaN,7,6,9,NaN,NaN,NaN,NaN,11,8,NaN,4,13,10,NaN,9,9,10,7,7,NaN,7,6,13,4,NaN,6,NaN,11,6,NaN,10,10,NaN,8,10,11,9,NaN,3,6
06/02/2011,16,10,-1,17,NaN,7,6,5,NaN,NaN,NaN,NaN,9,8,NaN,3,11,10,NaN,5,8,8,6,6,NaN,4,8,12,5,NaN,8,NaN,10,4,NaN,7,7,NaN,8,7,13,10,NaN,3,6
01/12/2011,16,6,1,8,9,6,15,12,NaN,NaN,NaN,NaN,8,8,NaN,11,10,12,NaN,7,10,7,8,10,NaN,2,7,8,10,10,8,8,10,6,8,6,7,NaN,10,8,15,8,NaN,6,7
02/12/2011,16,6,1,8,5,4,15,8,NaN,NaN,NaN,NaN,9,6,NaN,11,8,12,NaN,10,16,10,13,17,NaN,5,8,10,12,14,7,5,13,7,10,10,10,NaN,14,11,12,7,NaN,4,9
03/12/2011,16,3,2,6,5,7,10,11,NaN,NaN,NaN,NaN,8,10,NaN,7,6,9,NaN,7,11,7,8,12,NaN,1,5,7,6,7,6,4,11,5,8,7,4,NaN,9,8,10,7,NaN,5,4
06/12/2011,16,4,1,6,4,4,7,6,NaN,NaN,NaN,NaN,6,8,NaN,5,4,10,NaN,6,11,6,6,NaN,NaN,11,7,4,5,5,4,3,12,5,6,5,4,NaN,8,7,8,7,NaN,3,5
10/12/2011,16,7,1,10,8,5,15,14,NaN,NaN,NaN,NaN,16,12,NaN,12,8,14,NaN,10,15,10,15,18,NaN,12,9,10,9,9,6,12,18,6,11,10,6,NaN,16,12,11,9,NaN,6,10
13/12/2011,26,4,2,5,3,6,8,9,NaN,NaN,NaN,NaN,6,7,NaN,6,2,8,NaN,4,8,3,5,6,NaN,7,8,NaN,4,4,1,4,7,5,4,4,5,NaN,6,4,8,8,NaN,4,4
14/12/2011,26,4,0,12,3,5,7,4,NaN,NaN,NaN,NaN,4,7,NaN,7,2,10,NaN,5,9,5,6,8,NaN,10,6,NaN,4,5,3,1,7,6,5,5,5,NaN,7,4,8,8,NaN,5,5
15/12/2011,16,8,1,10,5,6,9,5,NaN,NaN,NaN,NaN,6,16,NaN,12,4,16,NaN,6,10,5,7,10,NaN,14,17,NaN,7,9,4,5,7,8,6,5,8,NaN,9,5,11,16,NaN,7,14
19/12/2011,26,7,1,6,8,NaN,17,11,NaN,NaN,NaN,NaN,15,9,NaN,15,9,15,NaN,12,17,NaN,17,18,NaN,12,10,NaN,14,14,9,8,19,10,11,14,10,NaN,18,12,14,9,NaN,5,14
