Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
07/03/2012,16,4,1,6,7,4,8,7,NaN,NaN,NaN,NaN,10,10,NaN,7,6,8,NaN,7,11,5,9,11,NaN,10,5,4,11,NaN,5,NaN,14,7,8,9,6,NaN,7,NaN,8,10,NaN,5,4
08/03/2012,6,8,4,10,9,8,12,12,NaN,NaN,NaN,NaN,13,14,NaN,13,9,13,NaN,11,14,6,11,16,NaN,13,8,8,13,NaN,7,6,19,9,11,12,9,NaN,13,NaN,11,12,NaN,8,9
09/03/2012,16,6,1,6,9,7,11,6,NaN,NaN,NaN,NaN,14,12,NaN,13,9,12,NaN,8,13,NaN,12,14,NaN,17,6,7,13,NaN,8,7,18,7,10,14,7,NaN,13,NaN,7,13,NaN,5,7
10/03/2012,6,6,2,4,7,6,15,15,NaN,NaN,NaN,NaN,18,12,NaN,8,8,9,NaN,14,18,NaN,17,18,NaN,13,5,5,14,9,10,3,19,8,12,15,6,NaN,10,NaN,9,10,NaN,5,4
17/03/2012,26,4,2,11,9,4,10,11,NaN,NaN,NaN,NaN,27,12,NaN,19,9,11,NaN,27,22,NaN,21,21,NaN,16,8,6,30,11,10,3,18,7,15,25,9,NaN,15,NaN,11,NaN,NaN,6,8
19/03/2012,6,5,2,7,6,2,18,5,NaN,NaN,NaN,NaN,16,10,NaN,10,12,9,NaN,NaN,15,NaN,10,17,NaN,10,5,8,17,7,10,3,18,5,11,16,8,NaN,14,NaN,8,NaN,NaN,4,4
20/03/2012,6,5,3,8,8,NaN,9,7,NaN,NaN,NaN,NaN,13,13,NaN,14,9,12,NaN,NaN,14,NaN,12,16,NaN,9,7,8,NaN,10,9,3,14,9,12,14,8,NaN,11,NaN,9,NaN,NaN,6,6
08/04/2012,16,3,1,4,7,2,12,8,NaN,NaN,NaN,NaN,15,11,NaN,10,9,8,NaN,NaN,14,17,15,15,NaN,5,5,7,16,NaN,10,NaN,18,5,11,16,6,NaN,11,15,8,9,4,6,8
13/05/2012,16,5,3,6,7,3,NaN,5,NaN,NaN,NaN,NaN,15,12,NaN,7,7,10,NaN,11,12,13,12,15,NaN,6,6,5,10,5,NaN,NaN,11,5,NaN,13,6,NaN,13,NaN,8,NaN,6,4,5
14/03/2013,16,7,1,11,14,NaN,15,10,NaN,NaN,NaN,NaN,22,4,NaN,11,17,12,NaN,17,NaN,14,15,16,NaN,13,9,8,11,10,17,14,17,9,12,15,18,NaN,18,NaN,15,4,18,6,8
16/04/2013,16,10,3,10,9,NaN,9,13,NaN,NaN,NaN,NaN,15,5,NaN,9,12,NaN,NaN,12,NaN,12,10,10,NaN,NaN,9,13,14,9,9,15,14,8,NaN,14,10,NaN,13,7,8,7,9,7,7
21/04/2013,16,6,1,7,13,NaN,11,12,NaN,NaN,NaN,NaN,14,3,NaN,9,13,NaN,NaN,15,NaN,12,12,13,NaN,NaN,7,17,19,10,12,14,14,5,NaN,18,10,NaN,15,10,9,5,9,4,7
22/04/2013,16,5,5,11,9,NaN,6,9,NaN,NaN,NaN,NaN,11,7,NaN,12,13,NaN,NaN,12,NaN,11,12,13,NaN,NaN,10,12,18,9,10,9,8,5,NaN,15,9,NaN,9,10,6,5,9,4,10
23/04/2013,6,7,3,12,8,NaN,9,13,NaN,NaN,NaN,NaN,14,6,NaN,12,12,NaN,NaN,14,NaN,13,11,12,NaN,NaN,12,18,17,12,12,9,11,8,9,18,12,NaN,10,10,11,8,10,7,9
24/04/2013,6,8,0,8,11,NaN,7,10,NaN,NaN,NaN,NaN,13,4,NaN,10,15,NaN,NaN,16,NaN,15,12,13,NaN,NaN,6,15,19,10,11,12,10,5,9,21,8,NaN,13,13,8,5,7,3,6
25/04/2013,16,5,0,7,15,NaN,9,12,NaN,NaN,NaN,NaN,23,4,NaN,13,18,NaN,NaN,19,NaN,18,16,19,NaN,NaN,9,17,25,14,22,11,14,8,18,24,12,NaN,15,14,13,5,11,8,8
28/04/2013,16,4,0,7,10,NaN,10,9,NaN,NaN,NaN,NaN,14,4,NaN,9,10,NaN,NaN,12,NaN,9,9,10,NaN,8,7,11,13,8,8,10,14,6,6,12,10,NaN,11,7,7,NaN,8,4,7
03/05/2013,26,NaN,3,8,8,NaN,8,10,NaN,NaN,NaN,NaN,16,4,NaN,10,NaN,NaN,NaN,15,NaN,13,11,14,NaN,8,9,13,13,7,11,12,13,7,10,20,10,NaN,14,12,NaN,7,9,4,9
04/05/2013,16,NaN,2,8,7,NaN,5,7,NaN,NaN,NaN,NaN,11,4,NaN,7,NaN,NaN,NaN,7,NaN,6,5,5,NaN,6,6,11,5,6,6,9,7,4,4,10,8,NaN,9,5,6,3,6,4,4
12/05/2013,16,6,3,6,5,NaN,6,8,NaN,NaN,NaN,NaN,11,3,NaN,6,NaN,NaN,NaN,8,6,7,5,6,NaN,NaN,6,10,5,5,6,11,7,5,4,10,7,NaN,9,4,5,4,6,4,4
13/05/2013,26,4,2,5,4,NaN,8,10,NaN,NaN,NaN,NaN,14,3,NaN,6,NaN,NaN,NaN,8,6,7,4,6,NaN,NaN,5,12,4,4,8,12,10,5,4,11,7,NaN,9,4,5,NaN,5,4,4
