Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
2010-02-07,3,19,17,21,No data,23,21,23,No data,No data,No data,No data,20,25,No data,24,24,31,No data,25,29,30,21,22,No data,27,26,23,42,27,20,22,No data,25,17,No data,28,No data,19,32,24,20,34,20,30
2010-09-27,3,8,2,13,No data,No data,16,13,No data,No data,No data,No data,7,9,No data,8,16,11,No data,9,12,12,7,10,No data,No data,9,No data,12,6,13,8,9,8,8,8,10,No data,13,9,No data,11,No data,7,10
2011-05-03,3,7,4,15,No data,8,13,10,No data,No data,No data,No data,14,10,No data,7,15,12,No data,9,11,10,13,9,No data,6,9,14,8,7,No data,10,10,12,9,No data,11,No data,12,No data,12,10,No data,8,9
2011-11-13,3,15,6,19,28,19,28,25,No data,No data,No data,No data,32,14,No data,29,28,30,No data,40,43,38,39,43,No data,19,25,21,34,No data,28,16,24,No data,30,38,18,No data,25,41,34,26,No data,25,28
2011-11-14,3,17,19,25,26,28,33,31,No data,No data,No data,No data,31,26,No data,25,23,33,No data,31,36,27,35,37,No data,23,29,30,25,No data,27,20,26,No data,25,30,23,No data,24,35,38,30,No data,31,26
2012-01-31,3,14,22,28,48,39,47,42,No data,No data,No data,No data,45,29,No data,No data,51,39,No data,49,54,49,No data,48,No data,37,26,No data,43,48,42,24,46,41,46,50,39,No data,47,49,49,28,No data,42,37
2012-05-25,3,18,11,22,21,No data,No data,No data,No data,No data,No data,No data,30,21,No data,12,21,No data,No data,28,27,31,23,29,No data,26,16,24,14,19,22,No data,No data,24,22,32,No data,No data,30,No data,26,No data,22,18,12
2012-05-27,3,17,11,12,17,No data,No data,No data,No data,No data,No data,No data,26,19,No data,10,15,No data,No data,20,21,22,18,22,No data,17,16,18,15,13,17,No data,No data,14,18,29,No data,No data,20,No data,18,No data,12,15,11
2012-06-20,3,6,4,9,13,No data,No data,No data,No data,No data,No data,No data,15,No data,No data,10,11,No data,No data,12,16,14,No data,No data,No data,8,7,10,12,8,11,No data,11,11,12,14,10,No data,14,No data,13,No data,8,12,8
2012-10-21,3,12,4,24,13,12,13,12,No data,No data,No data,No data,12,11,No data,No data,10,27,No data,5,11,6,6,6,No data,14,20,10,8,19,9,12,7,16,5,7,16,No data,11,2,17,16,16,23,21
2012-10-22,3,13,5,15,9,3,11,9,No data,No data,No data,No data,36,8,No data,No data,11,13,No data,24,26,22,18,24,No data,6,11,7,23,10,14,12,22,No data,16,21,9,No data,23,15,12,7,8,11,6
2013-03-31,3,10,4,15,15,No data,14,13,No data,No data,No data,No data,18,9,No data,10,16,15,No data,14,No data,12,11,12,No data,No data,14,12,14,12,14,16,16,12,8,13,16,No data,16,No data,10,11,15,13,13
2013-07-21,3,No data,No data,No data,10,No data,12,No data,No data,No data,No data,No data,19,13,No data,11,11,15,No data,23,19,No data,18,20,No data,16,15,No data,14,11,15,15,17,No data,14,25,18,No data,20,20,13,No data,16,11,No data
2013-09-26,3,6,No data,12,7,No data,23,25,No data,No data,No data,No data,18,5,No data,5,8,5,No data,20,17,20,16,18,20,9,8,No data,No data,4,No data,26,14,8,16,18,10,No data,31,14,8,7,7,7,5
2014-04-19,3,7,No data,16,9,12,9,9,No data,No data,No data,No data,8,11,11,8,8,10,6,12,10,8,8,12,10,12,10,13,No data,7,No data,No data,14,12,4,13,13,12,11,8,10,10,15,14,9
2014-06-25,3,6,6,13,8,9,No data,6,No data,No data,6,No data,4,5,5,5,6,5,6,7,7,4,6,No data,No data,9,4,10,4,6,3,10,10,11,No data,No data,No data,8,8,3,11,7,12,9,5
2014-07-23,3,9,10,15,16,9,No data,14,No data,No data,15,No data,15,10,No data,11,15,13,14,16,17,11,13,No data,No data,12,6,No data,12,14,11,18,19,No data,9,12,18,No data,16,No data,15,No data,13,9,No data
2014-09-14,3,17,12,19,15,11,No data,13,No data,No data,13,No data,No data,No data,16,13,17,14,14,17,No data,12,16,No data,No data,18,No data,12,13,12,13,18,21,15,12,11,21,16,17,No data,17,No data,17,12,14
2014-11-18,3,No data,8,14,19,12,24,19,No data,No data,18,No data,14,No data,10,11,19,13,16,19,21,14,16,21,17,14,11,17,16,10,19,12,13,No data,12,12,19,No data,21,No data,14,No data,18,13,12
2015-02-14,3,30,10,26,13,23,11,No data,No data,No data,13,No data,No data,18,23,21,16,20,12,9,14,No data,10,13,9,20,28,9,15,15,8,11,7,19,9,5,17,No data,13,12,14,23,16,16,24
2015-10-10,3,No data,5,17,10,14,12,11,9,No data,No data,No data,18,No data,11,12,8,19,10,9,10,10,7,9,9,17,15,12,10,10,14,18,14,17,No data,11,14,No data,17,11,No data,14,15,15,9
2015-10-11,3,No data,6,14,14,14,21,20,15,No data,No data,No data,29,9,10,15,15,15,17,24,22,26,21,23,22,18,12,21,21,15,22,27,26,19,No data,24,16,17,25,26,19,11,17,17,12
2016-08-25,3,4,3,No data,20,11,20,20,15,19,19,5,No data,7,7,8,No data,10,16,21,23,21,22,21,18,13,7,16,No data,19,No data,No data,21,12,24,No data,17,No data,No data,27,13,6,14,19,8
2016-10-05,3,6,2,16,8,4,11,9,6,6,8,12,No data,6,6,6,8,5,7,6,7,7,7,8,5,4,6,9,6,8,No data,9,10,7,6,8,6,6,No data,7,6,6,6,6,6
2016-10-06,3,5,3,14,7,3,8,6,5,6,8,8,No data,5,5,6,6,4,6,5,7,6,6,7,4,5,6,5,5,8,No data,9,10,6,5,18,8,7,No data,6,5,6,5,5,4
2016-10-07,3,6,3,12,8,4,10,7,7,7,7,9,No data,6,6,6,7,5,7,7,10,8,8,9,7,9,7,8,7,8,No data,13,13,7,8,8,No data,8,No data,7,6,6,7,7,5
2016-10-11,3,3,1,5,10,3,13,9,6,5,9,10,No data,4,4,5,10,3,10,10,10,10,8,9,6,5,6,10,4,8,No data,10,11,6,8,8,No data,6,No data,10,6,6,5,6,5
