Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
11/01/2010,19.8,-12.3,10,15.9,-9,16.5,129.1,13,9,2,12,No data,7,32,29,No data,No data,No data,No data,45,8,No data,12,19,14,No data,39,40,43,26,36,No data,No data,8,31,10,15,30,24,No data,9,38,No data,13,No data,40,40,16,3,18,9,12
12/01/2010,6,-17.9,33.7,38.1,21.4,39.6,152,13,8,2,17,No data,13,37,34,No data,No data,No data,No data,43,7,No data,13,33,19,No data,40,44,45,38,No data,No data,No data,9,39,17,23,39,19,No data,14,44,No data,15,No data,35,38,25,5,20,14,17
13/01/2010,3.1,-5.5,16.4,17.3,18.5,19.6,161.3,24,17,13,14,No data,19,38,38,No data,No data,No data,No data,39,22,No data,35,42,37,No data,51,56,56,51,No data,No data,No data,30,37,35,39,47,14,No data,24,50,No data,24,No data,36,51,36,20,26,18,35
14/01/2010,2.9,1.4,11.3,11.3,0.5,11.4,186.8,14,18,19,19,No data,35,40,28,No data,No data,No data,No data,18,27,No data,51,50,66,No data,30,35,28,24,No data,No data,No data,42,32,29,54,34,29,No data,33,32,No data,33,No data,21,26,49,26,43,27,53
15/01/2010,5.4,11.9,31.5,33.7,1.1,33.7,200.7,14,14,5,10,No data,13,15,15,No data,No data,No data,No data,19,12,No data,21,18,30,No data,18,19,20,15,No data,No data,No data,21,14,21,25,14,9,No data,14,13,No data,19,No data,15,19,16,11,23,8,24
16/01/2010,0.8,13.1,20.6,24.4,25.3,27.5,212.4,25,13,2,12,No data,10,10,12,No data,No data,No data,No data,12,8,No data,19,13,20,No data,15,18,17,13,No data,No data,No data,18,11,21,16,13,7,No data,13,12,No data,15,No data,12,17,18,9,21,8,23
17/01/2010,9.3,18,8.1,19.8,-11.7,20.6,245.7,15,10,2,9,No data,5,12,10,No data,No data,No data,No data,9,8,No data,16,11,13,No data,10,12,13,No data,No data,No data,No data,9,8,11,13,7,10,No data,8,9,No data,13,No data,13,12,11,3,13,5,15
18/01/2010,16.6,11.1,0.8,11.1,-19.9,14.9,266,6,8,0,11,No data,6,11,9,No data,No data,No data,No data,8,12,No data,15,15,14,No data,14,18,18,No data,No data,No data,No data,7,12,13,15,11,9,No data,13,18,No data,14,No data,14,17,16,3,16,5,15
19/01/2010,13.1,-6,26.8,27.4,-26.1,30.4,167.3,14,10,2,14,No data,13,10,12,No data,No data,No data,No data,18,13,No data,17,22,15,No data,27,32,31,23,No data,No data,18,18,14,12,27,23,10,No data,15,28,No data,19,No data,12,25,27,8,26,15,17
20/01/2010,12.9,-4.7,12.3,13.1,2.6,13.2,159,14,12,5,18,No data,19,14,12,No data,No data,No data,No data,16,14,No data,17,25,20,No data,24,28,27,23,No data,No data,22,13,14,23,28,20,11,No data,21,19,No data,21,No data,14,27,27,5,27,18,20
21/01/2010,10.5,1.8,38.5,38.5,5,38.6,182.6,14,13,15,10,No data,28,24,22,No data,No data,No data,No data,27,22,No data,33,31,38,No data,34,34,36,31,No data,No data,34,31,23,36,38,28,11,No data,30,28,No data,33,No data,25,36,39,22,40,No data,36
22/01/2010,17.7,5.8,5.6,8,17.4,11.9,226.2,20,20,3,14,No data,12,9,11,No data,No data,No data,No data,11,18,No data,16,17,21,No data,14,16,17,10,12,No data,16,20,8,21,19,11,9,No data,16,9,No data,19,No data,14,16,22,13,25,6,22
23/01/2010,22.5,-4.1,-5.4,6.8,-7.6,7.8,37.2,1,8,2,13,No data,5,16,15,No data,No data,No data,No data,15,11,No data,10,21,17,No data,16,19,19,14,15,No data,18,8,16,21,20,17,14,No data,9,16,No data,17,No data,15,18,27,6,16,4,16
24/01/2010,26.2,-1.6,0,1.6,5.6,3.2,90,20,14,5,12,No data,8,19,13,No data,No data,No data,No data,20,12,No data,13,18,20,No data,23,21,28,17,20,No data,15,14,15,32,21,16,19,No data,12,20,No data,18,No data,16,26,15,9,22,4,22
25/01/2010,27.9,0.9,6.9,7,-34.7,18.7,187.8,0,13,10,23,No data,21,26,21,No data,No data,No data,No data,29,17,No data,30,34,36,No data,30,34,33,27,27,No data,28,20,22,49,41,27,20,No data,28,25,No data,31,No data,25,38,34,15,32,16,35
26/01/2010,32,9.8,3.5,10.5,-40.6,22.8,250.3,0,21,14,37,No data,26,43,37,No data,No data,No data,No data,44,21,No data,23,40,38,No data,44,47,47,42,40,No data,30,25,42,46,36,41,38,No data,30,41,No data,34,No data,43,49,42,20,38,24,31
27/01/2010,25.3,15.3,-19.9,25.1,-2.9,25.2,322.3,17,6,2,12,No data,15,38,33,No data,No data,No data,No data,32,No data,No data,17,35,18,No data,No data,39,43,No data,39,No data,26,9,32,38,30,38,35,No data,21,42,No data,28,No data,46,39,31,3,28,14,17
28/01/2010,12.2,13.5,-16,20.9,-6.3,21.2,319.7,17,No data,1,8,No data,6,7,9,No data,No data,No data,No data,11,No data,No data,3,11,8,No data,No data,15,15,No data,12,No data,7,6,9,7,12,9,8,No data,5,9,No data,11,No data,9,11,13,2,13,4,6
29/01/2010,1,3,-29.6,29.8,19.7,31.4,354.3,18,3,1,5,No data,1,5,5,No data,No data,No data,No data,5,No data,No data,-1,8,6,No data,9,12,12,7,9,No data,5,3,6,5,7,7,5,No data,3,6,No data,7,No data,6,8,10,1,9,1,5
30/01/2010,2.6,6.5,-16.5,17.7,4.9,17.9,338.3,18,3,0,8,No data,1,13,9,No data,No data,No data,No data,7,6,No data,No data,11,7,No data,10,11,15,8,10,No data,7,4,10,9,10,9,11,No data,5,9,No data,10,No data,10,12,11,1,12,2,8
31/01/2010,6.8,8.8,-17.8,19.9,7.8,20.3,333.7,17,3,0,6,No data,5,17,12,No data,No data,No data,No data,11,5,No data,1,13,10,No data,15,15,21,13,16,No data,10,4,12,17,14,15,18,No data,6,14,No data,14,No data,21,17,10,2,14,2,8
01/02/2010,10.6,15.3,-6.2,16.6,-4.3,16.7,292.1,16,5,1,8,No data,4,7,9,No data,No data,No data,No data,11,7,No data,3,13,9,No data,No data,13,15,9,13,No data,11,6,9,11,22,9,16,No data,7,10,No data,14,No data,12,12,12,3,12,3,9
02/02/2010,6.7,8.9,-12.1,15,21.4,18.4,323.6,27,4,0,8,No data,5,6,No data,No data,No data,No data,No data,6,8,No data,2,11,9,No data,No data,10,12,9,8,No data,8,No data,7,6,10,7,6,No data,8,8,No data,13,No data,8,8,9,1,14,2,8
03/02/2010,4.1,6.8,8.4,10.8,-3.5,11,219.2,15,7,5,18,No data,15,8,No data,No data,No data,No data,No data,8,12,No data,8,23,21,No data,15,16,17,No data,14,No data,24,No data,12,18,27,14,5,No data,20,11,No data,30,No data,10,13,23,9,29,8,16
04/02/2010,0.2,-2,23.8,23.8,12.5,24.6,175.2,14,12,7,14,No data,18,14,15,No data,No data,No data,No data,14,13,No data,16,20,31,No data,15,19,18,15,17,No data,19,No data,18,19,30,18,14,No data,19,15,No data,23,No data,15,16,18,13,29,13,24
05/02/2010,5.6,-11.4,17.7,21.1,56.6,35.3,147.3,20,18,17,20,No data,23,8,11,No data,No data,No data,No data,9,25,No data,25,18,34,No data,14,16,17,13,13,No data,22,No data,12,22,24,14,6,No data,25,10,No data,24,No data,No data,13,25,22,31,16,30
06/02/2010,19.2,-9.3,-3.6,10,-1.9,10.1,68.9,12,18,5,24,No data,23,22,23,No data,No data,No data,No data,18,18,No data,16,22,23,No data,20,25,24,17,20,No data,25,18,22,14,19,20,15,No data,21,17,No data,26,No data,17,25,29,15,35,14,23
07/02/2010,19.8,-10.7,10.4,14.9,-29.4,21,134.3,3,19,17,21,No data,23,21,23,No data,No data,No data,No data,20,25,No data,24,24,31,No data,25,29,30,21,22,No data,27,26,23,42,27,20,22,No data,25,17,No data,28,No data,19,32,24,20,34,20,30
08/02/2010,14.8,-14.2,-3.2,14.6,-24.2,18.9,77.2,2,6,3,11,No data,7,17,17,No data,No data,No data,No data,25,6,No data,7,14,11,No data,27,29,31,21,23,No data,10,7,16,17,12,18,16,No data,8,17,No data,14,No data,21,32,14,2,15,8,10
09/02/2010,14.8,-8.4,-11.7,14.4,-24.5,18.9,35.6,1,3,1,8,No data,2,14,12,No data,No data,No data,No data,12,5,No data,2,11,7,No data,No data,12,14,7,8,No data,4,4,11,6,8,No data,10,No data,4,8,No data,10,No data,8,10,11,0,12,3,6
10/02/2010,19.1,-7.3,-6.4,9.7,-28.5,17.3,48.6,0,No data,2,13,No data,2,10,No data,No data,No data,No data,No data,7,7,No data,2,No data,7,No data,No data,12,14,7,8,No data,5,5,8,6,10,No data,12,No data,6,10,No data,10,No data,9,8,12,1,13,4,7
11/02/2010,20.9,-2.2,-9.3,9.5,-36.1,20.4,13.6,0,3,5,16,No data,7,12,No data,No data,No data,No data,No data,9,10,No data,No data,10,9,No data,No data,11,No data,6,7,No data,10,7,13,11,12,No data,13,No data,13,11,No data,13,No data,10,7,17,4,18,5,9
12/02/2010,24.6,-5.6,-7.1,9.1,-28.1,16.7,38.1,0,6,2,11,No data,8,16,No data,No data,No data,No data,No data,13,7,No data,No data,12,7,No data,No data,18,19,12,14,No data,8,4,15,10,11,13,16,No data,12,14,No data,14,No data,18,13,18,1,20,7,9
13/02/2010,22.6,-1.5,-6.9,7.1,-21.1,12.7,12.6,0,7,4,15,No data,6,10,5,No data,No data,No data,No data,13,12,No data,-1,10,8,No data,No data,11,13,6,8,No data,7,5,12,9,10,10,18,No data,9,9,No data,14,No data,9,10,16,2,17,5,8
14/02/2010,16.5,5.8,-4,7.1,-9.5,8.5,304.7,7,13,7,14,No data,12,17,10,No data,No data,No data,No data,17,12,No data,No data,18,10,No data,No data,14,17,10,13,No data,14,12,13,11,15,16,15,No data,18,17,No data,18,No data,16,15,22,7,26,8,10
15/02/2010,6.4,14.8,1.1,14.8,36.8,23.6,265.8,20,6,1,9,No data,12,20,9,No data,No data,No data,No data,15,4,No data,No data,30,28,No data,No data,17,19,18,17,No data,No data,20,16,16,25,31,11,No data,14,24,No data,24,No data,28,14,19,14,28,5,21
16/02/2010,0.6,-5.3,5.5,7.6,67,34.3,136,20,No data,0,14,No data,6,6,6,No data,No data,No data,No data,17,14,No data,9,12,15,No data,12,11,16,8,9,No data,No data,10,10,15,12,8,7,No data,8,7,No data,12,No data,8,16,15,8,18,No data,14
17/02/2010,-1.3,-13.4,1.1,13.5,42.9,25.3,94.6,20,No data,10,29,No data,24,29,20,No data,No data,No data,No data,39,22,No data,25,24,32,No data,42,41,45,36,36,No data,No data,32,22,48,33,27,No data,No data,No data,33,No data,32,No data,34,No data,22,24,39,28,27
18/02/2010,0,-4.2,-5.4,6.8,38.2,20.3,37.4,20,No data,13,42,No data,20,36,30,No data,No data,No data,No data,23,19,No data,39,37,45,No data,36,No data,37,43,41,No data,28,24,32,45,51,34,14,No data,No data,34,No data,31,No data,28,40,33,21,34,26,43
19/02/2010,0.1,3.8,-8.3,9.1,35.8,20.1,335.3,20,9,21,14,No data,19,13,18,No data,No data,No data,No data,15,24,No data,14,No data,24,No data,18,No data,23,16,19,No data,23,14,15,17,24,17,13,No data,No data,17,No data,20,No data,18,20,20,10,29,13,24
20/02/2010,0.4,3.1,-1.6,3.5,29.7,15.3,296.8,20,10,10,21,No data,16,17,17,No data,No data,No data,No data,13,18,No data,18,16,30,No data,21,20,24,19,20,No data,26,18,16,27,28,20,19,No data,No data,21,No data,26,No data,21,24,18,14,35,11,26
21/02/2010,-3.7,-1.1,1.2,1.6,38.5,19.3,135.6,20,13,10,23,No data,19,10,7,No data,No data,No data,No data,12,14,No data,16,15,31,No data,12,11,15,15,12,No data,16,22,11,22,19,14,6,No data,No data,18,No data,19,No data,14,14,18,13,26,14,27
22/02/2010,-6.9,-11,-3.7,11.6,20.5,15.5,71.6,22,11,12,17,No data,11,13,12,No data,No data,No data,No data,8,15,No data,8,16,12,No data,13,15,16,10,11,No data,8,12,14,16,15,12,10,No data,No data,11,No data,12,No data,10,16,13,7,17,11,15
23/02/2010,-5,-12.3,8.6,15,11.6,16.1,124.8,13,10,7,14,No data,9,14,16,No data,No data,No data,No data,16,14,No data,5,12,12,No data,18,21,22,15,18,No data,8,10,17,11,11,15,No data,No data,No data,15,No data,11,No data,14,18,11,7,18,10,13
24/02/2010,0.6,-14.4,4.3,15,56.2,31.9,106.5,20,4,1,10,No data,16,12,14,No data,No data,No data,No data,7,5,No data,15,14,29,No data,13,16,14,11,13,No data,17,17,20,15,24,13,8,No data,No data,11,No data,18,No data,8,12,22,10,29,17,26
25/02/2010,-2.5,-15.4,-1.7,15.5,50.5,29.6,83.9,20,2,5,17,No data,19,10,10,No data,No data,No data,No data,8,12,No data,10,13,23,No data,12,14,16,9,12,No data,18,22,13,15,18,11,8,No data,21,12,No data,22,No data,10,12,19,11,37,16,25
26/02/2010,-2,-2.5,-8.7,9.1,45.6,24.5,16.3,20,5,0,21,No data,12,7,10,No data,No data,No data,No data,7,4,No data,4,8,9,No data,8,11,13,6,8,No data,10,5,9,7,8,7,6,No data,13,8,No data,15,No data,7,8,12,1,24,9,6
27/02/2010,-3.8,-6.9,5.4,8.8,16.9,12.2,127.6,23,5,1,8,No data,10,8,7,No data,No data,No data,No data,8,5,No data,12,6,15,No data,11,13,15,8,10,No data,13,4,10,7,10,9,6,No data,12,12,No data,14,No data,9,10,14,2,27,11,11
28/02/2010,-2.7,-3,-13.4,13.7,16.2,15.9,12.5,28,5,1,10,No data,5,12,10,No data,No data,No data,No data,6,6,No data,2,9,8,No data,14,14,17,9,12,No data,6,5,13,14,9,9,8,No data,8,9,No data,9,No data,8,14,11,3,18,6,9
01/12/2010,17.2,-15.5,-5.2,16.4,-7.5,16.8,71.4,12,No data,1,7,No data,No data,10,12,No data,No data,No data,No data,16,7,No data,0,13,6,No data,12,13,No data,8,11,No data,5,4,12,No data,3,8,10,10,6,10,9,9,No data,10,13,9,7,No data,No data,6
02/12/2010,13.5,-4.9,-6.1,7.8,-17.6,11.8,38.8,0,No data,4,14,No data,No data,16,14,No data,No data,No data,No data,30,12,No data,3,17,8,No data,19,18,No data,12,12,No data,7,7,16,No data,8,13,No data,21,10,13,16,13,No data,18,19,14,8,No data,No data,8
03/12/2010,8.4,12.1,4,12.7,22,16.8,251.4,26,No data,2,19,No data,No data,26,18,No data,No data,No data,No data,20,10,No data,15,28,21,No data,23,24,No data,19,22,No data,25,19,24,No data,27,No data,No data,20,27,25,12,31,No data,24,16,34,13,No data,No data,No data
04/12/2010,8.6,1.6,-7.7,7.9,40,21.5,347.9,20,No data,2,29,No data,No data,17,25,No data,No data,No data,No data,7,10,No data,18,17,24,No data,13,15,No data,13,17,No data,20,18,21,No data,20,14,No data,11,20,18,5,29,No data,17,11,23,16,No data,No data,No data
05/12/2010,3.2,4.4,-9.5,10.5,-12.6,12.2,335.1,7,No data,4,21,No data,No data,45,18,No data,No data,No data,No data,15,12,No data,9,23,14,No data,22,20,No data,14,19,No data,23,8,21,No data,27,19,No data,17,29,25,10,27,No data,19,20,22,9,No data,No data,No data
06/12/2010,1.9,0.5,-6.4,6.5,6.7,7.3,355.6,28,No data,2,15,No data,No data,25,27,No data,No data,No data,No data,18,11,No data,31,24,32,No data,25,28,No data,18,25,No data,40,22,20,No data,40,26,No data,19,38,20,14,49,No data,19,22,50,17,No data,No data,No data
07/12/2010,7.2,-2.8,-9.5,9.9,-2,10,16.7,18,No data,5,24,No data,No data,28,29,No data,No data,No data,No data,22,13,No data,63,31,21,No data,27,29,No data,21,23,No data,23,11,27,No data,53,37,No data,21,30,19,18,43,No data,21,26,49,11,No data,36,No data
08/12/2010,15,-0.8,-17.6,17.6,-19.2,20.1,2.4,8,No data,6,20,No data,No data,24,19,No data,No data,No data,No data,16,12,No data,2,21,8,No data,21,23,18,13,17,No data,13,8,16,No data,13,23,No data,17,17,17,12,23,No data,20,20,32,8,No data,10,9
09/12/2010,25,13.6,-10.4,17.2,-25.3,21.3,307.3,7,No data,1,18,No data,No data,28,20,No data,No data,No data,No data,12,10,No data,3,20,11,No data,16,18,17,12,17,No data,26,11,16,No data,16,16,No data,14,12,13,9,30,No data,14,15,16,9,No data,5,12
10/12/2010,23.8,20,-13,23.8,-20.1,25.9,302.9,17,No data,-1,10,No data,No data,16,17,No data,No data,No data,No data,13,8,No data,8,14,10,No data,16,18,15,11,16,No data,8,7,11,17,14,12,No data,16,5,15,10,13,No data,19,16,12,6,No data,4,10
11/12/2010,18.8,7.3,-13.4,15.2,-42.4,26.1,331.2,0,No data,3,12,No data,No data,23,19,No data,No data,No data,No data,11,14,No data,5,13,10,No data,14,13,11,9,12,No data,10,8,21,13,12,11,11,11,10,11,9,17,No data,11,16,14,9,No data,7,16
12/12/2010,19.8,-5.9,2,6.3,-38.5,20.3,109,0,No data,4,28,No data,No data,18,20,No data,No data,No data,No data,14,19,No data,7,21,11,No data,15,17,13,11,15,No data,32,7,20,10,11,18,14,13,23,13,10,32,No data,16,16,22,10,No data,17,16
13/12/2010,23.4,-3.1,0.5,3.2,-31.8,16.2,98.6,0,No data,7,21,No data,No data,30,24,No data,No data,No data,No data,19,23,No data,7,27,11,No data,25,22,22,13,20,No data,13,8,26,13,17,21,14,17,19,19,15,No data,No data,19,20,23,10,No data,17,14
14/12/2010,33.4,-3.3,-7.8,8.5,-25.9,15.5,22.9,0,No data,5,51,No data,No data,25,22,No data,No data,No data,No data,14,18,No data,12,24,15,No data,17,18,14,12,16,No data,20,7,24,8,15,21,27,21,23,20,7,30,No data,23,14,27,12,No data,10,14
15/12/2010,31.8,9.4,-12.6,15.7,-33.3,22.9,323.3,0,No data,5,27,No data,No data,20,22,No data,No data,No data,No data,18,12,No data,5,23,10,No data,18,20,22,14,18,No data,13,6,23,10,15,19,23,19,10,20,8,No data,No data,19,14,20,8,No data,6,7
16/12/2010,13.9,6.9,-26.5,27.4,16.2,28.6,345.3,18,No data,0,8,No data,No data,8,11,No data,No data,No data,No data,9,7,No data,No data,No data,6,No data,12,13,9,8,9,No data,8,4,8,10,7,9,7,11,5,7,6,10,No data,9,10,9,6,No data,5,5
17/12/2010,2.3,11.8,-16.2,20.1,31.8,25.6,323.9,27,No data,1,9,No data,No data,8,18,No data,No data,No data,No data,11,10,No data,No data,24,11,No data,14,15,11,10,15,No data,12,9,11,10,13,19,9,14,7,13,7,No data,No data,10,13,13,8,No data,4,8
18/12/2010,1.3,-8.6,4.3,9.6,44.2,24.1,116.8,20,No data,4,14,No data,No data,17,18,No data,No data,No data,No data,16,15,No data,20,26,23,No data,19,17,No data,19,18,No data,18,22,16,19,18,22,18,13,15,22,10,No data,No data,14,17,21,20,No data,16,22
19/12/2010,0.8,-15.5,-1.7,15.6,25.8,20.3,83.8,22,No data,4,19,No data,No data,31,28,No data,No data,No data,No data,16,12,No data,23,40,23,No data,18,21,No data,14,19,No data,26,10,31,17,26,31,20,20,20,19,10,No data,No data,21,18,27,14,No data,31,18
20/12/2010,4.8,-3.8,-3.9,5.5,15,9.3,44.8,20,No data,6,54,No data,No data,34,30,No data,No data,No data,No data,15,17,No data,50,43,49,No data,32,33,No data,22,30,No data,48,17,34,47,61,36,16,14,37,30,16,No data,No data,18,25,40,21,No data,49,42
21/12/2010,6.9,-3,-1.5,3.4,7.4,5,63.5,20,No data,12,78,No data,No data,39,41,No data,No data,No data,No data,29,29,No data,58,42,50,No data,23,29,No data,22,24,No data,32,18,40,24,41,31,30,23,22,27,16,No data,No data,28,23,27,24,No data,29,41
22/12/2010,11.3,-8.7,-5.8,10.5,-5.2,10.8,56.2,11,No data,9,93,No data,No data,31,32,No data,No data,No data,No data,17,29,No data,15,33,26,No data,23,28,No data,19,24,No data,23,13,32,13,25,24,25,25,32,23,15,No data,No data,26,21,32,17,No data,32,20
23/12/2010,15.7,-7.8,-11.9,14.2,-22.5,18.1,33.5,1,No data,7,111,No data,No data,22,No data,No data,No data,No data,No data,9,20,No data,4,22,15,No data,11,15,No data,10,10,No data,17,8,22,8,13,15,17,12,38,No data,6,No data,No data,13,11,25,11,No data,18,14
24/12/2010,19.4,-0.6,-9.5,9.5,-24.9,15.7,3.6,0,No data,9,52,No data,No data,34,No data,No data,No data,No data,No data,12,14,No data,5,27,11,No data,14,17,No data,13,14,No data,34,11,19,11,15,22,17,16,46,19,8,No data,No data,18,15,27,10,No data,23,9
25/12/2010,21.4,6.1,-2,6.4,-35.9,19,288.2,0,No data,3,46,No data,No data,49,No data,No data,No data,No data,No data,21,14,No data,9,45,16,No data,25,25,No data,23,25,No data,50,12,28,21,27,41,24,20,41,32,15,No data,No data,23,25,34,11,No data,50,14
26/12/2010,14.2,8.8,26.2,27.7,-25.1,30.4,198.4,14,No data,3,40,No data,No data,36,No data,No data,No data,No data,No data,22,14,No data,21,44,31,No data,24,27,No data,36,29,No data,41,18,48,30,27,45,12,26,26,35,17,No data,No data,30,33,28,16,No data,No data,26
27/12/2010,8.5,-0.4,23.8,23.8,9.2,24.3,179,14,No data,1,11,No data,No data,10,No data,No data,No data,No data,No data,12,13,No data,12,No data,24,No data,15,15,No data,12,13,No data,14,30,12,21,15,14,8,12,11,14,10,No data,No data,11,16,15,25,No data,No data,15
28/12/2010,13.4,0.3,19.1,19.1,31.8,24.9,180.9,24,No data,5,27,No data,No data,18,No data,No data,No data,No data,No data,17,20,No data,16,No data,29,No data,19,20,No data,17,19,No data,21,21,24,18,19,20,10,17,14,22,13,No data,No data,15,22,20,21,No data,No data,18
29/12/2010,17.7,-0.6,11.5,11.5,11,12.8,177.3,14,No data,-1,16,No data,No data,18,No data,No data,No data,No data,No data,27,22,No data,24,No data,46,No data,28,32,No data,25,30,No data,36,29,27,17,24,22,No data,21,20,27,16,No data,No data,21,26,17,26,No data,No data,20
30/12/2010,19.9,-3.8,0.7,3.9,-29,15,100.9,0,No data,2,36,No data,No data,22,No data,No data,No data,No data,No data,17,23,No data,35,No data,47,No data,33,32,No data,22,26,No data,34,17,22,22,34,24,No data,20,23,23,19,No data,No data,18,28,22,21,No data,No data,26
31/12/2010,19,8.2,-5.1,9.7,-36.4,20.6,302,0,No data,3,34,No data,No data,22,No data,No data,No data,No data,No data,37,15,No data,20,No data,15,No data,35,29,No data,24,26,No data,35,14,20,31,42,28,No data,26,19,28,22,No data,No data,20,30,41,16,No data,32,12
01/01/2011,24.1,-1.6,-10.4,10.5,-26.8,17,8.8,0,No data,0,19,No data,No data,22,20,No data,No data,No data,No data,26,10,No data,3,No data,10,No data,20,21,No data,16,18,No data,7,5,15,20,15,16,No data,22,6,21,18,19,No data,19,22,15,8,No data,8,8
02/01/2011,25.1,0.8,-5.5,5.6,-29.8,15.9,351.3,0,No data,1,13,No data,No data,19,12,No data,No data,No data,No data,15,11,No data,2,No data,8,No data,13,13,No data,10,11,No data,5,6,16,10,11,14,No data,15,9,12,11,No data,No data,18,14,13,8,No data,6,9
03/01/2011,17.5,14.6,0.6,14.6,-14.4,16.3,267.6,16,No data,1,14,No data,No data,26,16,No data,No data,No data,No data,27,8,No data,10,No data,18,No data,24,21,No data,20,22,No data,22,8,19,24,26,30,No data,20,24,36,21,No data,No data,19,22,19,10,No data,14,12
04/01/2011,7.6,22.5,6.9,23.6,38.8,30.6,252.9,26,No data,-1,No data,No data,No data,15,16,No data,No data,No data,No data,11,6,No data,13,No data,15,No data,21,18,No data,18,17,No data,12,6,18,24,18,22,No data,17,11,24,15,No data,No data,16,18,16,9,No data,5,14
