Date,LWT,57.15736,55.79216,54.59965,51.45258,53.80489,51.462839,51.48178,53.244131,51.149617,52.411563,55.002818,50.805778,55.945589,55.865782,53.74878,52.28881,53.80378,52.619823,51.46603,51.52229,51.45258,51.617333,51.52105,51.425286,53.48152,54.97825,51.601203,52.614193,52.95473,51.744806,50.37167,50.82881,53.76559,51.45309,51.45617,53.48481,53.378622,50.90814,51.544206,53.02821,54.88361,53.54914,53.37287,53.967513
19/05/2012,2,4,2,6,15,3,NaN,17,NaN,NaN,NaN,NaN,17,11,NaN,8,13,9,NaN,21,22,22,23,23,NaN,9,6,14,12,10,20,NaN,14,8,23,23,7,NaN,18,NaN,14,NaN,5,8,5
02/06/2012,12,4,2,14,11,20,NaN,NaN,NaN,NaN,NaN,NaN,20,10,NaN,6,10,NaN,NaN,10,16,14,13,NaN,NaN,21,8,24,8,11,18,NaN,20,20,19,11,18,NaN,23,NaN,16,NaN,18,17,7
24/10/2012,2,9,3,10,8,2,33,22,NaN,NaN,NaN,NaN,61,6,NaN,9,12,13,NaN,52,62,48,49,53,NaN,5,7,18,35,7,33,29,49,NaN,44,52,8,NaN,49,38,11,4,5,7,6
22/01/2013,22,7,7,NaN,30,NaN,20,18,NaN,NaN,NaN,NaN,24,11,NaN,34,29,NaN,NaN,28,NaN,31,28,NaN,NaN,29,23,17,31,35,26,10,19,31,27,23,29,NaN,18,NaN,31,20,31,NaN,31
10/03/2013,12,6,2,8,9,NaN,8,14,NaN,NaN,NaN,NaN,16,4,NaN,7,10,9,NaN,10,NaN,8,10,10,NaN,3,6,9,12,8,10,18,13,5,4,10,8,NaN,12,9,7,5,7,6,6
19/03/2013,22,12,3,12,25,NaN,22,NaN,NaN,NaN,NaN,NaN,15,7,NaN,28,24,24,NaN,29,NaN,24,27,29,NaN,22,14,19,32,29,22,11,17,23,17,19,27,NaN,19,21,28,11,26,28,19
25/03/2013,12,8,5,11,14,NaN,16,16,NaN,NaN,NaN,NaN,29,7,NaN,10,17,12,NaN,21,NaN,18,19,21,NaN,NaN,9,14,19,10,17,25,24,8,14,21,12,NaN,22,NaN,10,6,10,9,9
26/03/2013,2,6,2,9,16,NaN,21,21,NaN,NaN,NaN,NaN,35,5,NaN,8,18,10,NaN,24,NaN,21,22,23,NaN,NaN,7,19,19,10,20,31,30,6,18,24,12,NaN,28,NaN,11,4,9,8,7
27/03/2013,2,6,2,8,18,NaN,23,23,NaN,NaN,NaN,NaN,34,3,NaN,10,20,12,NaN,27,NaN,23,26,26,NaN,NaN,7,21,23,13,23,39,35,9,22,29,15,NaN,33,NaN,14,5,12,11,10
09/04/2013,22,8,7,20,39,NaN,38,39,NaN,NaN,NaN,NaN,30,9,NaN,30,43,NaN,NaN,35,NaN,31,31,34,NaN,NaN,18,39,46,32,NaN,24,25,24,26,47,37,NaN,26,NaN,36,16,32,35,25
