Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
04/02/2010,0.2,-2,23.8,23.8,12.5,24.6,175.2,14,No data,79,114,112,19,No data,55,52,No data,127,74,No data,98,137,49,32,No data,40,22,67,55
05/02/2010,5.6,-11.4,17.7,21.1,56.6,35.3,147.3,20,No data,80,107,106,32,No data,50,42,No data,109,74,No data,92,158,60,40,No data,47,14,55,56
06/02/2010,19.2,-9.3,-3.6,10,-1.9,10.1,68.9,12,No data,63,66,105,37,No data,34,47,No data,87,51,No data,71,57,36,45,No data,38,38,43,55
07/02/2010,19.8,-10.7,10.4,14.9,-29.4,21,134.3,3,No data,53,59,99,32,No data,29,32,No data,79,36,No data,61,42,35,27,No data,33,34,46,45
08/02/2010,14.8,-14.2,-3.2,14.6,-24.2,18.9,77.2,2,No data,47,65,70,54,No data,26,25,No data,101,34,No data,62,37,14,34,No data,29,34,38,45
09/02/2010,14.8,-8.4,-11.7,14.4,-24.5,18.9,35.6,1,No data,58,54,111,59,No data,26,23,No data,111,41,No data,57,52,39,38,No data,27,33,30,48
10/02/2010,19.1,-7.3,-6.4,9.7,-28.5,17.3,48.6,0,No data,59,55,99,56,No data,28,25,No data,136,37,No data,64,47,31,32,No data,29,31,27,56
11/02/2010,20.9,-2.2,-9.3,9.5,-36.1,20.4,13.6,0,No data,67,65,106,51,No data,27,31,No data,108,42,No data,74,48,38,37,No data,33,31,34,52
12/02/2010,24.6,-5.6,-7.1,9.1,-28.1,16.7,38.1,0,No data,66,54,134,45,No data,31,21,No data,130,54,No data,67,64,42,50,No data,34,50,42,58
13/02/2010,22.6,-1.5,-6.9,7.1,-21.1,12.7,12.6,0,No data,40,54,124,34,No data,22,19,No data,85,48,No data,63,47,37,31,No data,23,29,29,52
14/02/2010,16.5,5.8,-4,7.1,-9.5,8.5,304.7,7,No data,43,60,131,23,No data,23,22,No data,72,51,No data,56,63,33,48,No data,27,40,23,45
15/02/2010,6.4,14.8,1.1,14.8,36.8,23.6,265.8,20,No data,65,104,135,24,No data,50,33,No data,77,94,No data,76,147,64,56,No data,25,34,38,56
16/02/2010,0.6,-5.3,5.5,7.6,67,34.3,136,20,No data,No data,107,110,55,No data,46,31,No data,121,74,No data,78,166,60,30,No data,34,9,74,76
17/02/2010,-1.3,-13.4,1.1,13.5,42.9,25.3,94.6,20,No data,No data,93,182,48,No data,47,49,No data,123,97,No data,81,151,49,71,No data,40,51,73,72
18/02/2010,0,-4.2,-5.4,6.8,38.2,20.3,37.4,20,No data,No data,76,178,47,No data,50,49,No data,127,111,No data,80,153,52,64,No data,62,31,No data,71
