Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
01/07/2010,6.4,8.1,21.2,22.7,9.4,23.2,200.9,14,No data,11,17,15,10,No data,16,10,No data,No data,15,No data,13,No data,No data,No data,14,No data,No data,No data,13,9,7,No data
02/07/2010,6.8,14.3,13.8,19.9,15,21.3,226,15,No data,11,15,14,7,11,13,10,No data,No data,15,No data,17,No data,No data,No data,16,No data,No data,No data,4,9,4,No data
03/07/2010,11.8,16.8,8.9,19,-16.8,20.8,242,15,No data,8,11,10,7,9,13,7,No data,No data,14,No data,11,No data,No data,No data,13,No data,No data,No data,4,No data,5,No data
04/07/2010,12.7,20.9,10.2,23.2,28,27.1,243.9,25,No data,6,10,10,7,8,11,5,No data,No data,12,No data,9,No data,No data,No data,12,No data,No data,No data,3,No data,5,No data
05/07/2010,17.6,14.6,-6.4,16,-15.4,17.7,293.8,17,No data,9,10,12,7,11,No data,6,No data,No data,12,No data,10,No data,No data,No data,15,No data,No data,No data,3,No data,4,No data
06/07/2010,15.1,11.8,14.5,18.7,-22.3,21.8,219.3,5,No data,8,15,11,8,7,No data,7,No data,No data,15,No data,11,No data,No data,No data,12,No data,No data,No data,3,8,4,No data
07/07/2010,9.1,24.1,16,28.9,2,29,236.5,15,No data,6,11,13,9,8,No data,6,No data,No data,13,No data,12,No data,No data,No data,15,No data,No data,No data,No data,7,2,No data
08/07/2010,10.2,14.2,10.3,17.6,-14.2,19,234.1,15,No data,12,15,13,8,11,No data,9,No data,No data,14,No data,11,No data,No data,No data,19,No data,No data,No data,6,8,7,No data
09/07/2010,12.6,5.8,4,7,1.6,7.1,235.4,15,No data,11,14,15,7,10,No data,10,No data,No data,14,No data,12,No data,No data,No data,19,No data,No data,No data,5,8,5,No data
10/07/2010,14.8,-1.4,8.6,8.7,5.1,9.1,170.4,14,No data,6,11,13,8,8,No data,7,No data,No data,28,No data,11,No data,No data,No data,15,No data,No data,No data,3,8,5,No data
11/07/2010,11.9,12.4,-5.7,13.7,8.5,14.3,294.6,17,No data,6,9,11,6,6,No data,6,No data,No data,11,No data,11,No data,No data,No data,12,No data,No data,No data,3,7,3,No data
12/07/2010,14.1,-4.9,3.5,6.1,-2.9,6.2,125.4,13,No data,11,11,10,10,9,No data,7,No data,No data,21,No data,9,No data,No data,No data,13,No data,No data,No data,5,6,8,No data
13/07/2010,10,-7.2,8.6,11.2,9.8,12.3,139.8,13,No data,11,14,16,8,8,No data,9,No data,No data,24,No data,13,No data,No data,No data,13,No data,No data,No data,4,12,8,No data
14/07/2010,8.7,-13.7,11,17.6,52.7,31.7,128.9,20,No data,8,14,13,9,8,No data,10,No data,No data,22,No data,12,No data,No data,No data,13,No data,No data,No data,8,8,5,No data
15/07/2010,6.8,9,2.3,9.3,68.9,35.7,255.9,20,No data,5,11,11,7,7,No data,No data,No data,No data,18,No data,11,No data,No data,No data,12,No data,No data,No data,7,8,4,No data
16/07/2010,10,18.3,-0.7,18.3,56.2,33.5,272.2,20,No data,6,10,10,3,6,No data,No data,No data,No data,12,No data,11,No data,No data,No data,11,No data,7,No data,3,7,4,No data
17/07/2010,14.1,17.8,1.5,17.8,-3.9,17.9,265.1,16,No data,7,10,8,4,7,No data,6,No data,No data,12,No data,10,No data,No data,No data,10,No data,9,No data,3,6,3,No data
18/07/2010,15.6,13.1,9,15.9,-10.6,16.7,235.6,15,No data,6,8,11,2,7,No data,6,No data,No data,13,No data,11,No data,No data,No data,12,No data,9,No data,3,7,3,No data
19/07/2010,15.3,6.1,10.6,12.2,1.7,12.3,209.9,15,No data,8,14,12,4,9,No data,9,No data,No data,15,No data,13,No data,No data,No data,14,No data,11,No data,4,No data,5,No data
