Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
31/01/2010,6.8,8.8,-17.8,19.9,7.8,20.3,333.7,17,No data,8,13,No data,10,No data,No data,10,No data,No data,8,No data,16,No data,12,22,15,No data,13,No data,No data,14,9,No data
01/12/2010,17.2,-15.5,-5.2,16.4,-7.5,16.8,71.4,12,No data,6,8,No data,No data,12,15,8,No data,No data,24,No data,12,No data,12,9,No data,No data,12,No data,4,12,6,No data
02/12/2010,13.5,-4.9,-6.1,7.8,-17.6,11.8,38.8,0,No data,12,13,No data,No data,26,20,11,No data,No data,37,No data,17,No data,16,14,No data,No data,18,No data,4,27,9,No data
03/12/2010,8.4,12.1,4,12.7,22,16.8,251.4,26,No data,28,33,No data,No data,17,30,22,No data,No data,34,No data,24,No data,21,35,No data,No data,21,No data,11,19,17,No data
04/12/2010,8.6,1.6,-7.7,7.9,40,21.5,347.9,20,No data,15,29,No data,No data,8,23,21,No data,No data,26,No data,18,No data,25,28,No data,No data,13,No data,17,8,16,No data
05/12/2010,3.2,4.4,-9.5,10.5,-12.6,12.2,335.1,7,No data,18,20,No data,39,21,20,16,No data,No data,35,No data,19,No data,16,19,No data,No data,19,No data,6,17,12,No data
06/12/2010,1.9,0.5,-6.4,6.5,6.7,7.3,355.6,28,No data,47,45,No data,32,24,28,49,No data,No data,26,No data,25,No data,30,25,No data,No data,22,No data,21,25,26,No data
07/12/2010,7.2,-2.8,-9.5,9.9,-2,10,16.7,18,No data,38,26,No data,42,28,33,41,No data,No data,39,No data,29,No data,27,24,No data,No data,28,No data,22,30,17,No data
08/12/2010,15,-0.8,-17.6,17.6,-19.2,20.1,2.4,8,No data,23,16,20,69,20,19,7,No data,No data,50,No data,20,No data,11,16,No data,No data,19,No data,6,22,8,No data
09/12/2010,25,13.6,-10.4,17.2,-25.3,21.3,307.3,7,No data,18,24,14,41,17,25,11,No data,No data,49,No data,15,No data,12,25,No data,No data,20,No data,3,20,20,No data
10/12/2010,23.8,20,-13,23.8,-20.1,25.9,302.9,17,No data,13,10,14,11,15,22,8,No data,No data,19,No data,13,No data,11,33,No data,No data,20,No data,2,19,7,No data
11/12/2010,18.8,7.3,-13.4,15.2,-42.4,26.1,331.2,0,No data,8,13,12,20,18,20,8,No data,No data,30,No data,12,No data,14,13,No data,No data,16,No data,6,17,3,No data
12/12/2010,19.8,-5.9,2,6.3,-38.5,20.3,109,0,No data,16,21,16,44,15,23,12,No data,No data,49,No data,18,No data,16,12,No data,No data,17,No data,6,23,12,No data
13/12/2010,23.4,-3.1,0.5,3.2,-31.8,16.2,98.6,0,No data,26,18,20,30,23,38,14,No data,No data,75,No data,17,No data,13,18,No data,No data,30,No data,5,25,10,No data
14/12/2010,33.4,-3.3,-7.8,8.5,-25.9,15.5,22.9,0,No data,20,23,21,27,14,26,14,No data,No data,82,No data,19,No data,19,15,No data,No data,20,No data,9,20,14,No data
15/12/2010,31.8,9.4,-12.6,15.7,-33.3,22.9,323.3,0,No data,18,14,19,18,17,27,9,No data,No data,53,No data,17,No data,13,18,No data,No data,19,No data,2,24,8,No data
16/12/2010,13.9,6.9,-26.5,27.4,16.2,28.6,345.3,18,No data,8,9,11,13,11,22,6,No data,No data,21,No data,11,No data,10,20,No data,No data,12,No data,3,12,1,No data
17/12/2010,2.3,11.8,-16.2,20.1,31.8,25.6,323.9,27,No data,11,14,14,16,13,18,11,No data,No data,25,No data,14,No data,14,23,No data,No data,17,No data,No data,13,2,No data
