Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
05/04/2010,8,21.8,31.6,38.4,12.6,38.9,214.5,15,No data,14,38,48,5,No data,19,5,No data,44,37,No data,25,106,27,10,No data,6,5,14,44
06/04/2010,8.7,12.1,16.1,20.1,22,22.9,216.9,25,No data,48,70,82,15,No data,40,13,No data,80,62,No data,39,125,36,28,No data,12,21,27,43
07/04/2010,17.5,9.6,-2.1,9.9,-7.3,10.5,282.5,16,No data,45,53,123,29,No data,31,13,No data,No data,55,No data,53,92,59,64,No data,32,50,20,54
08/04/2010,23,12.4,-2.9,12.7,-30.3,19.8,283,0,No data,67,No data,107,21,No data,56,16,No data,No data,46,No data,43,93,63,51,No data,6,47,42,53
09/04/2010,25,3.9,9.4,10.2,-41.4,23.1,202.9,0,No data,85,No data,116,44,No data,40,30,No data,90,64,No data,61,131,45,70,No data,34,38,59,57
10/04/2010,25.9,0.6,9.4,9.4,-41.7,22.9,183.4,0,No data,58,56,80,45,No data,31,30,No data,94,49,No data,62,80,20,39,No data,33,31,65,52
11/04/2010,27.2,-3.4,2.8,4.5,-34.1,17.6,129.3,0,No data,20,49,29,33,No data,16,18,No data,95,26,No data,45,31,7,16,No data,26,18,28,35
12/04/2010,27.5,-5.8,-5,7.6,-24.9,14.6,49,0,No data,51,69,58,52,No data,30,22,No data,97,37,No data,56,39,13,25,No data,36,22,42,45
13/04/2010,26.5,-8.6,-6,10.5,-18.7,14.1,55.4,1,No data,48,43,65,63,No data,33,15,No data,103,36,No data,49,40,15,28,No data,18,30,32,44
14/04/2010,23.5,-6.5,-4,7.7,-16.5,11.3,58.9,0,No data,41,53,67,63,No data,32,16,No data,111,45,No data,48,56,17,36,No data,15,38,36,41
15/04/2010,22.6,-3.2,-7,7.7,-32.9,18.2,24.7,0,No data,52,62,71,76,No data,33,25,No data,117,41,No data,67,39,16,34,No data,24,34,41,54
16/04/2010,21.1,5.5,-2.6,6.1,-46,23.8,294.8,0,No data,69,62,64,54,No data,34,33,No data,75,49,No data,68,72,18,34,No data,18,33,47,60
17/04/2010,15.9,11.1,-5.4,12.4,-13.2,14,295.6,7,No data,68,66,101,19,No data,35,24,No data,44,73,No data,56,123,42,51,No data,9,29,52,59
18/04/2010,16.2,-3,-6,6.6,-12.9,9.3,26.3,1,No data,42,49,92,25,No data,28,21,No data,88,59,No data,47,103,20,44,No data,13,29,32,44
19/04/2010,16.6,7.9,-0.6,8,-6.5,8.6,274.1,16,No data,56,68,103,45,No data,48,24,No data,56,62,No data,68,129,17,41,No data,17,37,32,56
20/04/2010,17.4,5.8,-15.8,16.8,-10.4,17.6,339.7,18,No data,55,49,74,31,No data,38,9,No data,54,19,No data,38,51,39,41,No data,13,40,24,47
21/04/2010,17.3,1.2,-6.6,6.7,-32.4,17.5,349.2,0,No data,58,45,90,40,No data,33,12,No data,69,33,No data,56,60,38,42,No data,23,43,38,46
22/04/2010,13.6,4,-4.3,5.9,-22.1,12.5,316.8,0,No data,82,77,109,43,No data,33,23,No data,66,59,No data,62,110,44,50,No data,18,33,55,57
23/04/2010,11.1,1.1,5.6,5.7,-17.1,10.3,191.6,0,No data,79,93,130,61,No data,42,29,No data,95,66,No data,78,142,44,50,No data,13,41,56,71
24/04/2010,14.9,-1.2,15.2,15.2,-0.4,15.2,175.3,14,No data,58,91,116,47,No data,44,29,No data,108,77,No data,86,140,39,59,No data,20,41,56,53
25/04/2010,19,8.4,7.1,11,22.2,15.6,229.7,20,No data,26,68,68,29,No data,33,17,No data,67,51,No data,63,124,36,44,No data,16,21,19,47
26/04/2010,19.2,13.1,0.9,13.2,-16,15.4,266,6,No data,60,71,53,44,No data,48,15,No data,54,38,No data,44,134,47,59,No data,5,21,31,49
27/04/2010,18.4,7.3,17.8,19.3,-20.5,21.8,202.3,4,No data,52,93,80,50,No data,36,18,No data,83,61,No data,54,152,44,58,No data,13,29,42,56
28/04/2010,12,14.7,14.1,20.4,12,21.2,226.2,15,No data,42,93,84,32,No data,46,17,No data,64,76,No data,51,183,49,36,No data,11,43,40,56
29/04/2010,7.6,10.8,0.1,10.9,3.8,11,269.3,16,No data,53,74,94,34,No data,54,24,No data,67,62,No data,54,146,54,73,No data,4,40,29,52
30/04/2010,8.7,10.3,-3.5,10.9,19.9,14.8,288.8,26,No data,44,91,45,27,No data,52,17,No data,72,30,No data,55,157,33,27,No data,7,12,18,58
01/05/2010,13.8,-3.9,-4.1,5.7,12,8.2,43.6,20,No data,34,50,64,37,No data,34,14,No data,89,40,No data,43,97,19,26,No data,15,13,22,42
02/05/2010,19.9,-6.1,-11.8,13.3,0.9,13.3,27.3,11,No data,18,26,56,32,No data,18,8,No data,83,31,No data,44,29,8,15,No data,12,23,10,36
03/05/2010,24.9,-1.9,-11.7,11.9,-26,17.6,9.5,0,No data,23,35,68,35,No data,17,9,No data,81,22,No data,31,24,16,15,No data,13,19,10,35
04/05/2010,25,4,-9.5,10.4,-25.9,16.6,337,0,No data,58,54,93,47,No data,36,16,No data,61,47,No data,61,55,37,40,No data,28,39,21,54
05/05/2010,22.4,1.7,-7.7,7.8,-2.4,7.9,347.5,18,No data,54,72,120,50,No data,30,23,No data,63,53,No data,56,90,53,49,No data,24,44,19,55
06/05/2010,18,-8.6,-8,11.8,5.7,12.2,47.1,11,No data,70,55,77,62,No data,35,28,No data,104,40,No data,63,64,25,35,No data,24,34,45,45
07/05/2010,17.4,-13.7,-4.1,14.3,-9.6,15.1,73.4,12,No data,54,51,77,52,No data,36,16,No data,108,41,No data,49,45,22,35,No data,20,40,38,37
08/05/2010,17.6,-9.6,-8.5,12.8,-14.8,14.8,48.7,1,No data,35,23,72,36,No data,23,11,No data,104,32,No data,38,35,12,21,No data,10,33,22,41
09/05/2010,13.8,-4.2,-9.1,10,-16.3,12.9,24.5,1,No data,29,41,49,25,No data,18,15,No data,59,33,No data,38,43,16,21,No data,13,28,19,47
10/05/2010,14.3,-2.8,-12.6,12.9,-15.3,15,12.8,8,No data,59,82,58,56,No data,32,28,No data,82,38,No data,55,42,23,34,No data,22,35,42,57
11/05/2010,14.6,-0.8,-8.8,8.9,-4,9.1,5.5,18,No data,63,75,70,51,No data,35,22,No data,74,47,No data,55,54,30,44,No data,31,36,26,58
12/05/2010,14.4,1.4,-0.4,1.5,-26.8,13.5,285.1,0,No data,67,76,98,63,No data,34,23,No data,99,48,No data,50,68,30,40,No data,30,37,37,52
13/05/2010,10.3,11.3,10.3,15.3,6.2,15.6,227.8,15,No data,50,93,97,29,No data,41,19,No data,75,52,No data,59,132,52,36,No data,15,22,32,69
14/05/2010,12.3,7.5,1,7.6,14.7,10.6,262.1,26,No data,49,94,75,33,No data,46,20,No data,No data,54,No data,55,190,55,30,No data,12,28,50,77
15/05/2010,13.4,14.9,0.5,14.9,-0.2,14.9,268,16,No data,40,62,77,20,No data,32,11,No data,No data,34,No data,37,71,45,50,No data,4,24,16,53
16/05/2010,15.2,10.2,-5,11.4,1.1,11.4,296.3,17,No data,26,42,52,15,No data,35,6,No data,No data,35,No data,24,107,35,38,No data,17,16,19,46
17/05/2010,20.4,7,-0.9,7.1,-24.8,14.3,277.1,0,No data,54,55,92,38,No data,48,12,No data,No data,38,No data,41,68,46,52,No data,25,30,26,42
18/05/2010,23.3,3.4,11.5,12,-21.7,16.2,196.7,4,No data,81,77,125,46,No data,43,28,No data,99,63,No data,56,125,34,53,No data,18,30,24,54
19/05/2010,24.1,4.9,5.2,7.2,-23.8,13.9,223.7,0,No data,59,76,81,49,No data,47,21,No data,81,56,No data,50,148,48,50,No data,11,24,26,No data
20/05/2010,27,3.8,3.7,5.3,-28.8,15.3,226.2,0,No data,66,51,135,49,No data,42,20,No data,69,47,No data,39,102,48,57,No data,23,31,37,No data
21/05/2010,26.8,-0.3,4.1,4.1,-33,17,175.2,0,No data,54,68,152,49,No data,38,29,No data,72,53,No data,69,90,26,46,No data,27,34,38,No data
22/05/2010,25.1,-0.4,1.4,1.4,-24.4,12.3,164,0,No data,38,49,111,30,No data,28,18,No data,64,41,No data,51,68,15,32,No data,74,21,48,No data
23/05/2010,20.7,1.8,-2.4,3,-14.2,7.7,322.3,0,No data,41,50,94,21,No data,23,11,No data,55,42,No data,33,91,42,34,No data,43,21,33,No data
24/05/2010,15.4,-3,-10.1,10.6,-13.8,12.6,16.2,8,No data,64,63,109,37,No data,46,17,No data,62,33,No data,44,115,37,50,No data,19,32,27,No data
25/05/2010,13.8,-5.8,-6.8,9,-15.5,11.9,40.6,1,No data,39,73,No data,40,No data,33,23,No data,94,26,No data,53,74,7,31,No data,25,27,30,No data
26/05/2010,13,-1.2,-9,9.1,0.8,9.1,7.9,18,No data,49,86,No data,45,No data,33,22,No data,90,40,No data,56,77,14,26,No data,28,32,28,No data
27/05/2010,11.9,4,-8,8.9,18.4,12.8,333.4,20,No data,50,61,No data,27,No data,33,14,No data,54,38,No data,34,117,44,40,No data,7,28,13,No data
28/05/2010,11.8,7.9,-0.3,8,-1.5,8,272.2,16,No data,41,57,67,30,No data,45,14,No data,71,28,No data,37,115,46,40,No data,9,20,19,No data
29/05/2010,13.2,0.1,4.6,4.6,31.1,16.2,181.9,20,No data,21,72,87,23,No data,37,28,No data,92,43,No data,65,111,27,14,No data,18,15,18,No data
30/05/2010,14.6,-1.4,-12.8,12.9,1.7,12.9,6.2,18,No data,13,28,36,17,No data,25,7,No data,78,10,No data,31,33,16,13,No data,10,18,8,27
31/05/2010,17.1,-0.8,7,7.1,-20.7,12.5,173.5,0,No data,28,48,93,23,No data,24,16,No data,80,30,No data,34,39,19,21,No data,20,29,24,28
01/03/2011,31,4.2,3.7,5.6,-49.5,25.4,228.3,0,No data,60,93,86,66,19,39,48,No data,121,34,No data,68,47,23,34,No data,38,30,53,No data
02/03/2011,29.8,5.3,2,5.7,-36.6,19.2,249.3,0,No data,67,91,62,44,27,35,43,No data,105,39,No data,82,50,19,42,No data,33,34,59,No data
03/03/2011,32.2,-2.3,-0.7,2.4,-33.4,16.9,73.2,0,No data,66,87,59,51,20,44,44,No data,132,35,No data,69,44,11,36,No data,47,34,64,No data
04/03/2011,28.4,2.2,-3.6,4.3,-24.6,13,328.1,0,No data,67,102,94,No data,28,42,50,No data,79,45,No data,79,63,22,54,No data,23,51,70,44
05/03/2011,28.1,-3.9,-0.4,3.9,-29.8,15.4,83.6,0,No data,72,72,66,No data,24,42,46,No data,105,29,No data,57,51,23,34,No data,41,31,55,37
06/03/2011,24.4,6.4,6.5,9.1,-34.4,19.5,224.9,0,No data,37,74,42,45,12,23,32,No data,75,18,No data,58,63,6,31,No data,17,23,34,16
07/03/2011,21.3,10.3,5.6,11.8,-29.8,19,241.5,0,No data,87,123,100,62,49,41,31,No data,82,61,No data,83,106,29,62,No data,27,45,64,44
08/03/2011,9.2,26.8,2.6,27,-9.8,27.4,264.5,16,No data,70,110,99,43,50,65,35,No data,45,67,No data,63,148,52,62,No data,26,28,51,38
09/03/2011,7.4,28.4,-7.5,29.4,-5.2,29.5,284.8,16,No data,43,57,42,25,33,64,16,No data,47,33,No data,28,127,41,40,No data,5,19,16,15
10/03/2011,3.9,29.6,-10.7,31.5,16.9,32.7,289.9,16,No data,37,61,38,22,23,54,15,No data,42,22,No data,23,148,32,26,No data,6,10,13,11
11/03/2011,5.7,19,3.4,19.4,-1.9,19.4,259.8,16,No data,39,80,67,44,36,59,18,No data,76,39,No data,34,168,42,27,No data,11,17,29,22
12/03/2011,5.1,-5.2,4.3,6.7,32.3,17.5,129.3,20,No data,50,84,95,47,23,45,21,No data,131,51,No data,63,107,30,24,No data,26,25,52,19
13/03/2011,9.6,-8.2,-12.7,15.1,39.4,24.8,33.1,20,No data,40,60,75,30,21,38,16,No data,99,46,No data,51,86,38,25,No data,20,27,36,28
14/03/2011,15.3,-6.4,1.9,6.7,-19.5,11.9,106.2,0,No data,71,103,73,57,25,34,62,No data,100,No data,No data,78,90,29,50,No data,36,32,59,48
15/03/2011,13.3,-2.2,4,4.6,-19.9,11,150.4,0,No data,52,85,78,55,44,36,52,No data,106,No data,No data,56,86,26,59,No data,47,46,39,27
16/03/2011,8.5,3.7,8.1,8.9,-37.6,20.8,204.6,0,No data,54,75,70,38,27,41,50,No data,115,No data,No data,57,45,20,42,No data,41,40,47,34
17/03/2011,13.4,7.1,-6.1,9.4,-14.2,11.7,310.6,7,No data,No data,77,94,37,38,43,33,No data,81,No data,No data,64,81,48,60,No data,16,40,30,27
18/03/2011,17.7,11,2,11.2,-16.1,13.8,259.7,6,No data,No data,93,109,41,41,41,39,No data,88,No data,No data,58,80,48,72,No data,18,49,59,41
19/03/2011,23,12.3,10.4,16.1,-40.8,26,229.7,0,No data,75,102,112,36,43,40,52,No data,84,No data,No data,67,129,52,52,No data,14,41,52,46
20/03/2011,21.1,18.8,7,20.1,-27.4,24.3,249.5,6,No data,30,76,71,16,36,45,19,No data,49,No data,No data,40,119,42,45,No data,13,30,30,31
21/03/2011,21.5,21.4,3.7,21.7,-41.5,30,260.2,6,No data,62,92,98,29,40,59,34,No data,49,No data,No data,52,141,55,76,No data,8,38,38,27
22/03/2011,30.6,5.8,-1.8,6.1,-43.2,22.5,287.5,0,No data,73,No data,116,36,48,38,36,No data,52,No data,No data,57,108,46,74,No data,22,37,57,39
23/03/2011,31.3,7.7,1.1,7.8,-40.1,21.5,261.6,0,No data,89,No data,119,31,43,36,37,No data,76,No data,No data,66,106,36,59,No data,20,38,75,39
24/03/2011,29.4,0.2,0.3,0.4,-27.5,13.8,209.9,0,No data,79,No data,98,43,52,38,41,No data,73,No data,No data,62,117,30,60,No data,32,38,72,51
25/03/2011,20.4,-3,-3.7,4.7,-8.9,6.5,39.4,1,No data,88,No data,100,36,55,52,48,No data,102,No data,No data,No data,110,43,65,No data,45,49,61,44
26/03/2011,16.2,-4.8,1.9,5.1,-10.2,7.2,111.5,2,No data,44,No data,92,30,44,36,41,No data,100,No data,No data,58,110,26,60,No data,22,44,51,17
27/03/2011,13.3,1.2,-6.9,7,-10.6,8.7,350.1,8,No data,37,No data,79,17,32,24,36,No data,57,No data,No data,57,77,16,40,No data,17,34,44,27
28/03/2011,12.4,3.4,2.6,4.3,-18.8,10.3,232.5,0,No data,83,No data,155,32,31,42,51,No data,88,No data,No data,72,99,34,48,No data,28,42,56,30
29/03/2011,11,-0.6,5.4,5.5,-0.6,5.5,173.2,-1,No data,91,No data,116,39,43,49,53,No data,112,74,No data,84,126,46,87,No data,43,43,59,37
30/03/2011,7.5,9.5,12.4,15.7,18.3,18.1,217.4,25,No data,57,114,64,34,30,50,32,No data,94,40,No data,55,133,50,38,No data,27,17,29,30
31/03/2011,3.8,22.8,-2.1,22.9,20.5,25.1,275.2,16,No data,32,75,39,18,16,42,13,No data,64,23,No data,31,112,26,19,No data,9,9,12,18
01/04/2011,3,21.1,25.9,33.4,2.6,33.4,219.3,15,No data,30,59,52,21,18,40,16,No data,48,34,No data,25,117,26,16,No data,10,12,37,15
02/04/2011,4,14.4,4.9,15.3,10.9,16.2,251.2,16,No data,33,51,42,17,31,46,22,No data,49,29,No data,44,88,29,29,No data,10,16,21,22
03/04/2011,6.6,20.1,6.6,21.2,-9.9,21.8,251.9,16,No data,37,68,56,10,25,37,24,No data,39,32,No data,34,114,34,41,No data,6,14,15,24
04/04/2011,7.1,25.6,16.8,30.6,-8.8,30.9,236.7,15,No data,41,100,53,25,27,46,23,No data,54,26,No data,33,133,46,33,No data,9,10,16,21
05/04/2011,5.7,26.7,11,28.9,-11.8,29.5,247.5,16,No data,33,66,57,17,19,42,15,No data,40,30,No data,27,129,26,19,No data,5,9,14,16
