Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
02/02/2010,6.7,8.9,-12.1,15,21.4,18.4,323.6,27,NaN,62,74,72,50,NaN,65,31,NaN,88,51,NaN,63,140,43,43,NaN,NaN,11,17,51
03/02/2010,4.1,6.8,8.4,10.8,-3.5,11,219.2,15,NaN,88,128,110,38,NaN,49,62,NaN,120,72,NaN,86,127,76,53,NaN,31,36,58,66
04/02/2010,0.2,-2,23.8,23.8,12.5,24.6,175.2,14,NaN,79,114,112,19,NaN,55,52,NaN,127,74,NaN,98,137,49,32,NaN,40,22,67,55
05/02/2010,5.6,-11.4,17.7,21.1,56.6,35.3,147.3,20,NaN,80,107,106,32,NaN,50,42,NaN,109,74,NaN,92,158,60,40,NaN,47,14,55,56
06/02/2010,19.2,-9.3,-3.6,10,-1.9,10.1,68.9,12,NaN,63,66,105,37,NaN,34,47,NaN,87,51,NaN,71,57,36,45,NaN,38,38,43,55
07/02/2010,19.8,-10.7,10.4,14.9,-29.4,21,134.3,3,NaN,53,59,99,32,NaN,29,32,NaN,79,36,NaN,61,42,35,27,NaN,33,34,46,45
08/02/2010,14.8,-14.2,-3.2,14.6,-24.2,18.9,77.2,2,NaN,47,65,70,54,NaN,26,25,NaN,101,34,NaN,62,37,14,34,NaN,29,34,38,45
09/02/2010,14.8,-8.4,-11.7,14.4,-24.5,18.9,35.6,1,NaN,58,54,111,59,NaN,26,23,NaN,111,41,NaN,57,52,39,38,NaN,27,33,30,48
10/02/2010,19.1,-7.3,-6.4,9.7,-28.5,17.3,48.6,0,NaN,59,55,99,56,NaN,28,25,NaN,136,37,NaN,64,47,31,32,NaN,29,31,27,56
11/02/2010,20.9,-2.2,-9.3,9.5,-36.1,20.4,13.6,0,NaN,67,65,106,51,NaN,27,31,NaN,108,42,NaN,74,48,38,37,NaN,33,31,34,52
12/02/2010,24.6,-5.6,-7.1,9.1,-28.1,16.7,38.1,0,NaN,66,54,134,45,NaN,31,21,NaN,130,54,NaN,67,64,42,50,NaN,34,50,42,58
13/02/2010,22.6,-1.5,-6.9,7.1,-21.1,12.7,12.6,0,NaN,40,54,124,34,NaN,22,19,NaN,85,48,NaN,63,47,37,31,NaN,23,29,29,52
14/02/2010,16.5,5.8,-4,7.1,-9.5,8.5,304.7,7,NaN,43,60,131,23,NaN,23,22,NaN,72,51,NaN,56,63,33,48,NaN,27,40,23,45
15/02/2010,6.4,14.8,1.1,14.8,36.8,23.6,265.8,20,NaN,65,104,135,24,NaN,50,33,NaN,77,94,NaN,76,147,64,56,NaN,25,34,38,56
16/02/2010,0.6,-5.3,5.5,7.6,67,34.3,136,20,NaN,NaN,107,110,55,NaN,46,31,NaN,121,74,NaN,78,166,60,30,NaN,34,9,74,76
