Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool Marton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London N. Kensington,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
19/06/2010,18.3,-2.8,-14.2,14.5,-22.7,18.4,11.2,8,2,NaN,13,NaN,NaN,17,25,NaN,NaN,NaN,NaN,NaN,15,NaN,4,13,13,NaN,12,44,4,15,21,20,13,3,30,10,31,9,NaN,11,NaN,NaN,NaN,19,NaN,23,3,4,NaN,NaN
20/06/2010,19,3.9,-7,8,-22.9,14,330.7,0,6,NaN,7,NaN,NaN,22,27,NaN,NaN,NaN,NaN,NaN,18,NaN,2,10,13,NaN,15,47,8,19,16,14,11,4,22,16,24,8,NaN,16,NaN,NaN,NaN,17,NaN,22,5,7,NaN,NaN
21/06/2010,19.8,3,1.2,3.2,-21.4,11.2,247.9,0,25,NaN,23,NaN,NaN,26,30,NaN,NaN,NaN,NaN,NaN,17,NaN,19,19,26,NaN,35,66,27,46,30,28,22,7,34,18,32,15,NaN,22,NaN,NaN,NaN,30,NaN,30,10,12,NaN,NaN
22/06/2010,18.7,5.8,5.6,8,-14,10.6,225.7,5,28,NaN,26,NaN,NaN,19,30,NaN,NaN,NaN,NaN,NaN,19,NaN,23,22,30,NaN,33,56,22,29,40,24,11,15,39,11,35,17,NaN,22,NaN,NaN,NaN,36,NaN,33,9,21,NaN,NaN
23/06/2010,17.3,10.2,6.9,12.3,-3.1,12.4,236,15,22,NaN,30,NaN,NaN,24,28,NaN,NaN,NaN,NaN,NaN,16,NaN,17,19,NaN,NaN,31,53,24,33,35,22,19,13,28,17,48,19,NaN,23,NaN,32,NaN,39,NaN,21,5,16,NaN,NaN
24/06/2010,15.1,9.6,-2.1,9.8,-15.6,12.5,282.3,6,14,NaN,32,NaN,NaN,15,27,NaN,NaN,NaN,NaN,NaN,20,NaN,22,16,NaN,NaN,37,58,25,25,28,20,12,11,30,17,25,18,NaN,22,NaN,23,NaN,21,NaN,31,6,13,NaN,NaN
25/06/2010,14.6,1.5,2.7,3.1,-15.6,8.4,210.3,0,18,NaN,37,NaN,NaN,25,29,NaN,NaN,NaN,NaN,NaN,22,NaN,19,19,NaN,NaN,35,62,31,40,45,24,23,11,34,16,40,21,NaN,18,NaN,43,NaN,34,NaN,26,10,25,NaN,NaN
26/06/2010,14.3,-0.2,10,10,-10.5,11.3,178.9,4,24,NaN,20,NaN,NaN,28,32,NaN,NaN,NaN,NaN,NaN,22,NaN,18,13,NaN,NaN,39,72,34,61,42,29,17,11,33,22,45,21,NaN,22,NaN,25,NaN,33,NaN,30,16,15,NaN,NaN
27/06/2010,16.2,7.6,10.2,12.7,11.7,14,216.7,15,19,NaN,10,NaN,NaN,13,9,NaN,NaN,NaN,NaN,NaN,10,NaN,16,11,NaN,NaN,24,53,19,36,29,16,14,10,20,13,25,24,NaN,17,NaN,21,NaN,28,NaN,21,6,11,NaN,NaN
28/06/2010,17.5,9.6,7,11.9,9.9,12.9,234,15,13,NaN,29,NaN,NaN,13,10,NaN,NaN,NaN,NaN,NaN,15,NaN,22,16,NaN,NaN,23,46,21,23,31,20,15,10,22,14,32,12,NaN,17,NaN,20,NaN,24,NaN,20,7,16,NaN,NaN
29/06/2010,17.8,5.7,-4.4,7.2,-3.3,7.4,307.9,17,16,NaN,22,NaN,NaN,13,8,NaN,NaN,NaN,NaN,NaN,22,NaN,24,13,NaN,NaN,24,39,17,22,25,24,10,15,29,11,25,9,NaN,17,NaN,22,NaN,29,NaN,26,12,8,NaN,NaN
30/06/2010,13.6,3,11.2,11.6,-15.8,14,195,4,16,NaN,22,NaN,NaN,17,15,NaN,NaN,NaN,NaN,NaN,24,NaN,28,22,NaN,NaN,21,35,15,20,46,19,15,18,31,14,34,11,NaN,14,NaN,33,NaN,30,NaN,28,12,19,NaN,NaN
01/07/2010,6.4,8.1,21.2,22.7,9.4,23.2,200.9,14,35,NaN,22,NaN,NaN,22,30,NaN,NaN,NaN,NaN,NaN,15,NaN,26,13,NaN,NaN,22,38,13,24,41,31,6,10,27,16,51,21,NaN,15,NaN,21,NaN,39,12,25,NaN,18,NaN,NaN
02/07/2010,6.8,14.3,13.8,19.9,15,21.3,226,15,23,NaN,24,NaN,NaN,15,30,NaN,NaN,NaN,NaN,NaN,11,NaN,26,14,NaN,NaN,21,35,12,24,39,22,9,15,26,11,32,14,NaN,15,NaN,21,NaN,33,12,19,NaN,14,NaN,NaN
03/07/2010,11.8,16.8,8.9,19,-16.8,20.8,242,15,9,NaN,21,NaN,NaN,27,18,NaN,NaN,NaN,NaN,NaN,11,NaN,13,11,NaN,NaN,18,41,16,17,29,17,12,9,18,8,29,9,NaN,14,NaN,18,NaN,26,22,18,4,11,NaN,NaN
04/07/2010,12.7,20.9,10.2,23.2,28,27.1,243.9,25,12,NaN,8,NaN,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,10,NaN,16,6,NaN,NaN,15,25,9,18,22,12,7,5,12,6,27,8,NaN,9,NaN,9,NaN,24,6,13,5,9,NaN,NaN
05/07/2010,17.6,14.6,-6.4,16,-15.4,17.7,293.8,17,11,NaN,21,NaN,NaN,NaN,17,NaN,NaN,NaN,NaN,NaN,18,NaN,13,16,NaN,NaN,18,44,12,17,24,14,16,10,23,9,19,13,NaN,16,NaN,19,NaN,27,11,24,5,7,NaN,NaN
06/07/2010,15.1,11.8,14.5,18.7,-22.3,21.8,219.3,5,15,NaN,22,NaN,NaN,22,22,NaN,NaN,NaN,NaN,NaN,15,NaN,21,16,NaN,NaN,24,39,13,28,38,21,19,12,24,16,31,16,NaN,16,NaN,26,NaN,25,14,25,7,22,NaN,NaN
07/07/2010,9.1,24.1,16,28.9,2,29,236.5,15,11,NaN,23,NaN,NaN,15,18,NaN,NaN,NaN,NaN,NaN,13,NaN,24,10,NaN,NaN,19,31,11,19,23,15,7,11,18,6,23,16,NaN,15,NaN,14,NaN,29,11,15,3,11,NaN,NaN
08/07/2010,10.2,14.2,10.3,17.6,-14.2,19,234.1,15,9,NaN,23,NaN,NaN,17,30,NaN,NaN,NaN,NaN,NaN,13,NaN,23,17,NaN,NaN,20,27,12,19,32,21,15,11,25,13,30,11,NaN,13,NaN,22,NaN,23,17,23,5,14,NaN,NaN
09/07/2010,12.6,5.8,4,7,1.6,7.1,235.4,15,19,NaN,30,NaN,NaN,20,23,NaN,NaN,NaN,NaN,NaN,17,NaN,24,21,NaN,NaN,24,42,15,27,36,21,12,11,36,13,31,16,NaN,16,NaN,24,NaN,27,27,22,6,19,NaN,NaN
10/07/2010,14.8,-1.4,8.6,8.7,5.1,9.1,170.4,14,14,NaN,24,NaN,NaN,12,12,NaN,NaN,NaN,NaN,NaN,17,NaN,21,7,21,NaN,15,25,10,17,27,21,8,7,18,10,29,9,NaN,9,NaN,11,NaN,20,18,16,6,13,NaN,NaN
11/07/2010,11.9,12.4,-5.7,13.7,8.5,14.3,294.6,17,11,NaN,15,NaN,NaN,7,17,NaN,NaN,NaN,NaN,NaN,16,NaN,10,7,18,NaN,11,20,7,14,16,12,8,4,13,10,17,11,NaN,10,NaN,12,NaN,20,6,14,6,5,NaN,NaN
12/07/2010,14.1,-4.9,3.5,6.1,-2.9,6.2,125.4,13,18,NaN,18,NaN,NaN,18,24,NaN,NaN,NaN,NaN,NaN,16,NaN,12,15,NaN,NaN,26,41,15,22,39,25,21,13,24,11,38,13,NaN,16,NaN,22,NaN,32,21,29,11,18,NaN,NaN
13/07/2010,10,-7.2,8.6,11.2,9.8,12.3,139.8,13,15,NaN,23,NaN,NaN,23,23,NaN,NaN,NaN,NaN,NaN,16,NaN,12,10,NaN,NaN,22,41,14,29,36,19,21,14,25,18,44,15,NaN,21,NaN,NaN,NaN,30,14,16,11,19,NaN,NaN
14/07/2010,8.7,-13.7,11,17.6,52.7,31.7,128.9,20,3,NaN,31,NaN,NaN,19,19,NaN,NaN,NaN,NaN,NaN,19,NaN,19,9,NaN,NaN,18,39,11,21,38,27,8,13,36,10,29,9,NaN,11,NaN,NaN,NaN,25,14,20,13,23,NaN,NaN
15/07/2010,6.8,9,2.3,9.3,68.9,35.7,255.9,20,20,NaN,27,NaN,NaN,13,12,NaN,NaN,NaN,NaN,NaN,19,NaN,20,9,30,NaN,12,28,6,14,30,22,8,5,21,8,25,10,NaN,8,NaN,NaN,NaN,17,5,16,7,13,NaN,NaN
16/07/2010,10,18.3,-0.7,18.3,56.2,33.5,272.2,20,12,NaN,16,NaN,NaN,17,20,NaN,NaN,NaN,NaN,NaN,19,NaN,26,12,26,NaN,12,26,4,14,35,18,10,5,23,8,24,12,NaN,11,NaN,NaN,NaN,22,4,20,6,12,NaN,NaN
17/07/2010,14.1,17.8,1.5,17.8,-3.9,17.9,265.1,16,7,NaN,17,NaN,NaN,13,16,NaN,NaN,NaN,NaN,NaN,15,NaN,24,9,29,NaN,12,32,9,14,29,16,8,5,20,6,22,6,NaN,13,NaN,NaN,NaN,33,9,16,3,10,NaN,NaN
18/07/2010,15.6,13.1,9,15.9,-10.6,16.7,235.6,15,8,NaN,11,NaN,NaN,15,10,NaN,NaN,NaN,NaN,NaN,11,NaN,14,6,17,NaN,16,23,10,18,23,12,9,4,17,8,23,16,NaN,10,NaN,NaN,NaN,22,11,13,4,11,NaN,NaN
19/07/2010,15.3,6.1,10.6,12.2,1.7,12.3,209.9,15,21,NaN,26,NaN,NaN,25,26,NaN,NaN,NaN,NaN,NaN,13,NaN,35,11,28,NaN,22,35,14,22,39,NaN,9,8,26,10,39,28,NaN,16,NaN,NaN,NaN,41,16,24,10,22,NaN,NaN
20/07/2010,13.3,-1.1,1.5,1.8,28.7,14.5,143.4,20,9,NaN,33,NaN,NaN,22,22,NaN,NaN,NaN,NaN,NaN,18,NaN,28,9,33,NaN,43,58,23,36,32,NaN,10,24,31,17,32,27,NaN,20,NaN,NaN,NaN,37,38,26,14,21,NaN,NaN
21/07/2010,11.1,-2.4,-7.2,7.6,36.7,19.9,18.4,20,8,NaN,37,NaN,NaN,19,27,NaN,NaN,NaN,NaN,NaN,13,NaN,NaN,11,36,NaN,15,23,6,13,37,NaN,14,8,22,NaN,24,11,NaN,9,NaN,NaN,NaN,24,8,22,6,15,NaN,NaN
22/07/2010,16,-1.5,-7.1,7.3,-2.3,7.4,11.9,18,6,NaN,33,NaN,NaN,28,25,NaN,NaN,NaN,NaN,NaN,14,NaN,NaN,11,16,NaN,23,40,14,24,37,32,26,NaN,23,NaN,37,11,NaN,21,NaN,NaN,NaN,27,12,21,7,14,NaN,NaN
23/07/2010,18.4,4.2,1.1,4.3,-15.5,8.9,254.9,0,19,NaN,31,NaN,NaN,20,22,NaN,NaN,NaN,NaN,NaN,21,NaN,9,19,22,NaN,22,58,16,30,32,28,21,NaN,35,NaN,34,19,NaN,23,NaN,NaN,NaN,31,10,35,11,11,NaN,NaN
24/07/2010,18,7.2,7.8,10.6,-6.2,11.1,222.6,15,14,NaN,23,NaN,NaN,13,23,NaN,NaN,NaN,NaN,NaN,23,NaN,21,16,28,NaN,21,45,14,30,39,30,8,9,33,NaN,28,12,NaN,15,NaN,NaN,NaN,29,14,28,9,25,NaN,NaN
25/07/2010,16.7,8.4,-5.7,10.2,3,10.3,304,17,12,NaN,8,NaN,NaN,9,16,NaN,NaN,NaN,NaN,NaN,18,NaN,8,7,16,NaN,16,43,11,16,16,10,7,6,16,NaN,14,10,NaN,11,NaN,NaN,NaN,20,7,17,5,6,NaN,NaN
26/07/2010,14.3,11.1,-0.9,11.1,-7.4,11.7,274.7,16,17,NaN,15,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,20,NaN,18,13,22,NaN,21,42,14,21,24,18,11,6,26,NaN,11,15,NaN,16,NaN,NaN,NaN,19,9,28,NaN,9,NaN,NaN
27/07/2010,14.2,11.8,-1.3,11.8,-2.2,11.9,276.5,16,18,NaN,19,NaN,NaN,14,NaN,NaN,NaN,NaN,NaN,NaN,20,NaN,16,14,27,NaN,21,45,16,29,28,18,9,11,26,NaN,18,10,NaN,17,NaN,NaN,NaN,24,23,31,NaN,9,NaN,NaN
28/07/2010,16.5,7.5,-5.3,9.2,1.2,9.2,304.9,17,21,NaN,19,NaN,NaN,14,18,NaN,NaN,NaN,NaN,NaN,21,NaN,18,17,25,NaN,20,45,11,20,29,19,11,11,27,NaN,16,11,NaN,18,NaN,NaN,NaN,19,12,27,6,9,NaN,NaN
29/07/2010,14.5,4.2,-7.1,8.3,-18.6,12.4,329.1,0,7,NaN,27,NaN,NaN,14,16,NaN,NaN,NaN,NaN,NaN,20,NaN,12,NaN,17,NaN,22,45,12,20,26,24,21,8,25,NaN,17,15,NaN,NaN,NaN,NaN,NaN,21,12,31,10,7,NaN,NaN
30/07/2010,10.6,10.3,2.3,10.6,4.6,10.8,257.2,16,22,NaN,26,NaN,NaN,23,19,NaN,NaN,NaN,NaN,NaN,14,NaN,28,21,33,NaN,22,37,15,23,37,26,16,8,29,NaN,34,16,NaN,NaN,NaN,NaN,NaN,29,16,29,10,17,NaN,NaN
31/07/2010,11.4,11.2,-2.5,11.5,20,15.2,282.7,26,14,NaN,19,NaN,NaN,12,15,NaN,NaN,NaN,NaN,NaN,13,NaN,18,9,26,NaN,14,35,11,16,35,19,4,8,23,NaN,20,11,NaN,NaN,NaN,NaN,NaN,26,12,22,6,7,NaN,NaN
01/08/2010,15,3,-6,6.7,11.7,8.9,334,27,7,NaN,14,NaN,NaN,12,13,NaN,NaN,NaN,NaN,NaN,17,NaN,11,7,16,NaN,16,35,10,18,17,14,7,6,17,7,22,6,NaN,NaN,NaN,NaN,NaN,26,15,18,6,4,NaN,NaN
02/08/2010,16.6,6.2,-2.7,6.7,-8.5,8,294,7,NaN,NaN,23,NaN,NaN,NaN,16,NaN,NaN,NaN,NaN,NaN,19,NaN,7,15,22,NaN,25,47,16,31,25,20,NaN,10,37,17,22,17,NaN,NaN,NaN,NaN,NaN,18,16,NaN,8,7,NaN,NaN
03/08/2010,12.9,12.3,-2.3,12.5,-0.3,12.5,280.4,16,NaN,NaN,23,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,NaN,20,NaN,22,19,29,NaN,27,44,20,31,31,24,NaN,9,30,12,19,12,NaN,NaN,NaN,NaN,NaN,22,29,NaN,7,17,NaN,NaN
04/08/2010,10.1,9.6,-9.6,13.6,17.9,16.3,314.9,27,NaN,NaN,19,NaN,NaN,NaN,16,NaN,NaN,NaN,NaN,NaN,27,NaN,24,12,24,NaN,20,44,12,25,24,24,12,9,NaN,12,12,9,NaN,NaN,NaN,NaN,NaN,25,17,28,9,5,NaN,NaN
05/08/2010,11.7,9.7,-4.9,10.9,2.6,10.9,296.7,17,NaN,NaN,28,NaN,NaN,13,18,NaN,NaN,NaN,NaN,NaN,26,NaN,13,15,27,NaN,19,47,12,21,27,17,11,8,NaN,15,12,14,NaN,NaN,NaN,NaN,NaN,19,14,28,8,9,NaN,NaN
06/08/2010,14,6.4,8,10.3,36.8,21.1,218.7,20,NaN,NaN,33,NaN,NaN,19,16,NaN,NaN,NaN,NaN,NaN,20,NaN,35,11,39,NaN,20,39,11,26,41,31,7,9,29,15,20,18,NaN,NaN,NaN,NaN,NaN,26,16,26,8,22,NaN,NaN
07/08/2010,18.3,4.8,-12,12.9,13.6,14.6,337.9,28,NaN,NaN,13,NaN,NaN,14,17,NaN,NaN,NaN,NaN,NaN,23,NaN,21,8,21,NaN,18,34,13,23,23,27,8,8,25,10,12,8,NaN,12,NaN,NaN,NaN,33,13,22,7,9,NaN,NaN
08/08/2010,17.4,6.9,3.5,7.7,-7.7,8.6,243.2,5,NaN,NaN,11,NaN,NaN,10,16,NaN,NaN,NaN,NaN,NaN,16,NaN,10,10,20,NaN,18,41,10,23,30,17,9,5,22,9,15,6,NaN,12,NaN,NaN,NaN,18,11,20,8,7,NaN,NaN
09/08/2010,13.2,8.9,4.3,9.9,21.8,14.7,244.4,20,NaN,NaN,25,NaN,NaN,23,21,NaN,NaN,NaN,NaN,NaN,17,NaN,35,13,32,NaN,19,28,8,21,39,29,17,6,26,NaN,24,15,NaN,NaN,NaN,NaN,NaN,28,12,23,8,22,NaN,NaN
10/08/2010,12.8,5.4,-3.6,6.5,37.3,19.8,303.5,20,NaN,NaN,20,NaN,NaN,25,25,NaN,NaN,NaN,NaN,NaN,26,NaN,27,13,35,NaN,22,36,16,27,31,26,13,7,25,NaN,23,9,NaN,NaN,NaN,NaN,NaN,28,14,23,5,16,NaN,NaN
11/08/2010,16.2,5.3,-13.9,14.9,18.6,17.5,338.9,28,NaN,NaN,17,NaN,NaN,25,24,NaN,NaN,NaN,NaN,NaN,33,NaN,23,16,29,NaN,30,50,19,34,33,19,14,6,26,NaN,NaN,11,NaN,30,NaN,NaN,NaN,28,20,22,5,10,NaN,NaN
12/08/2010,20.6,1.4,-15.4,15.5,5.6,15.8,355,18,NaN,NaN,15,NaN,NaN,25,19,NaN,NaN,NaN,NaN,NaN,34,NaN,8,15,24,NaN,29,50,23,31,NaN,18,17,8,34,15,NaN,13,NaN,27,NaN,NaN,NaN,24,17,27,6,9,NaN,NaN
13/08/2010,21.6,0.3,-14.7,14.7,-1.1,14.7,358.8,18,NaN,NaN,14,NaN,NaN,17,16,NaN,NaN,NaN,NaN,NaN,23,NaN,7,18,22,NaN,28,52,19,31,NaN,22,19,8,36,17,13,13,NaN,25,NaN,NaN,NaN,23,18,33,6,12,NaN,NaN
