Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Blackpool Marton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,London Bexley,London Bloomsbury,London Eltham,London N. Kensington,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Wigan Centre,Wirral Tranmere,York Bootham
15/03/2010,20.8,11.5,-7.6,13.8,-21.6,17.5,303.4,7,7,5,No data,No data,19,26,No data,No data,No data,18,14,No data,15,14,16,No data,10,No data,16,No data,8,20,13,No data,12,13,26,No data,10,No data,14,No data,16,No data,20,No data,No data,11
16/03/2010,15,6.8,12,13.8,-33,21.5,209.8,0,18,6,No data,No data,28,31,No data,No data,No data,19,12,No data,26,22,28,No data,13,No data,18,No data,16,No data,18,No data,18,20,29,No data,15,No data,21,No data,27,No data,24,No data,No data,23
17/03/2010,9.9,17.4,13.6,22.1,-12.7,23,232,15,21,10,No data,No data,25,29,No data,No data,No data,35,15,No data,35,30,28,No data,26,No data,33,No data,19,29,29,27,29,32,42,No data,28,No data,25,No data,35,No data,31,No data,No data,30
18/03/2010,2.7,13.9,28.4,31.7,11.9,32.2,206,15,25,10,No data,No data,32,35,No data,No data,No data,42,13,No data,45,37,32,No data,32,No data,35,No data,20,36,40,35,32,27,47,No data,30,No data,32,No data,42,No data,36,No data,No data,33
19/03/2010,1.7,22.1,6.4,23.1,-1.3,23.1,253.9,16,20,9,No data,No data,17,23,No data,No data,No data,27,16,No data,31,22,28,No data,15,No data,16,No data,15,19,17,24,14,13,27,No data,10,No data,22,No data,15,No data,29,No data,No data,24
20/03/2010,4,8.3,-10.4,13.3,-0.7,13.3,321.2,17,14,12,No data,No data,9,9,No data,No data,No data,21,17,No data,12,11,15,No data,12,No data,11,No data,12,5,8,13,7,16,21,No data,5,No data,11,No data,10,No data,16,No data,No data,16
21/03/2010,10,13,8.4,15.5,-16.9,17.7,237.2,5,12,7,No data,No data,15,17,No data,No data,No data,20,13,No data,20,19,20,No data,14,No data,18,No data,11,10,16,22,15,17,25,No data,15,No data,18,No data,No data,No data,21,No data,No data,17
22/03/2010,10.3,18.8,14.8,23.9,23,26.5,231.8,15,19,3,No data,No data,17,20,No data,No data,No data,24,7,No data,20,19,17,No data,15,No data,18,No data,11,18,23,17,13,21,26,No data,13,No data,12,No data,18,No data,18,No data,No data,16
23/03/2010,6.9,9.3,21.1,23.1,-8.7,23.5,203.7,15,24,8,No data,No data,15,15,No data,No data,No data,26,13,No data,23,16,24,No data,18,No data,21,No data,17,13,23,19,13,14,22,No data,10,No data,14,No data,15,No data,16,No data,No data,18
24/03/2010,3.3,2.4,14.1,14.3,22.4,18.2,189.7,24,32,7,No data,No data,23,26,No data,No data,No data,52,10,No data,41,26,26,No data,30,No data,34,No data,18,20,54,26,25,19,45,No data,25,No data,16,No data,37,No data,24,No data,No data,27
25/03/2010,-0.3,-10.6,11.3,15.5,17.9,17.9,136.9,23,33,9,27,No data,16,18,No data,No data,No data,24,23,No data,38,20,32,No data,19,No data,22,No data,38,12,29,24,16,13,32,No data,16,No data,14,No data,24,No data,21,No data,No data,32
26/03/2010,0.8,2.3,7,7.4,49,25.6,198.5,20,16,4,22,No data,20,21,No data,No data,No data,19,7,No data,17,17,17,No data,13,No data,16,No data,11,15,13,15,14,31,27,No data,11,No data,9,No data,19,No data,19,No data,No data,14
27/03/2010,7.2,14.8,-11.7,18.8,35.1,25.7,308.2,27,6,4,18,No data,20,21,No data,No data,No data,21,9,No data,20,17,17,No data,14,No data,18,No data,6,15,17,19,15,19,28,No data,13,No data,16,No data,No data,No data,25,No data,No data,16
28/03/2010,7.7,6.1,-12.4,13.8,31.5,20.9,333.7,20,8,3,18,No data,10,13,No data,No data,No data,14,7,No data,16,12,13,No data,10,No data,15,No data,6,8,11,12,9,10,20,No data,9,No data,11,No data,12,No data,15,No data,No data,10
29/03/2010,1.5,-8.7,8.3,12,26,17.7,133.5,20,13,2,25,No data,13,16,No data,No data,No data,No data,8,No data,22,16,23,No data,14,No data,17,No data,8,12,17,17,12,19,26,No data,11,No data,14,No data,17,No data,18,No data,No data,17
30/03/2010,1.5,-10.5,-10.5,14.9,72.4,39.1,44.9,20,17,0,14,No data,10,13,No data,No data,No data,15,8,No data,19,11,19,No data,12,No data,No data,No data,13,7,13,13,10,12,24,No data,9,No data,11,No data,13,No data,13,No data,No data,15
